
[00:00:00.000 --> 00:00:05.160]   It's time for Mac Break Weekly. It looks like we have a date and we have a location
[01:57:09.000 --> 01:57:13.800]   Um, but the the problem is is that the uh, I mean the the advantage of the mavic is man
[01:57:13.800 --> 01:57:16.840]   You can just you throw that I throw that into my my carry on all the time
[01:57:16.840 --> 01:57:20.440]   I mean it's like a little little box and I throw it in the carry on and and you know
[01:57:20.440 --> 01:57:23.560]   You get to a location and three minutes later. I'm flying
[01:57:23.560 --> 01:57:27.000]   You know like I just kind of open it up and turn it on and boom it's up in the air
[01:57:27.000 --> 01:57:30.440]   You know and I don't have to you know, it's not like this huge pelican case
[01:57:30.440 --> 01:57:33.960]   the obviously this this little the little spark wouldn't be a
[01:57:34.520 --> 01:57:36.280]   a huge pelican case, but it's still
[01:57:36.280 --> 01:57:40.440]   You know with all the wings and all the other bits and pieces it's still going to take up some space
[01:57:40.440 --> 01:57:46.040]   You know and you're getting a much lower res camera. You're getting you know, there's a lot of things that a lot of quality that you're giving up
[01:57:46.040 --> 01:57:49.000]   Um for not a lot of space and to me I'm
[01:57:49.000 --> 01:57:55.080]   Space is a premium for me, you know in general when i'm traveling around so so um, that's why I chose the mavic
[01:57:55.080 --> 01:58:01.720]   I'm pretty happy with it. You know, I don't think that the camera, you know, the the camera is not replacing a go pro or a zen moose
[01:58:01.880 --> 01:58:05.320]   You know x5, you know, those things are at a much higher level
[01:58:05.320 --> 01:58:08.040]   But it's got a reasonably good camera
[01:58:08.040 --> 01:58:14.040]   And it uh and it's really really easy for me to launch and and get the easiest the mavic pro has been the easiest
[01:58:14.040 --> 01:58:20.200]   Uh drone for me to work with and I've been flying crashing and destroying drones. I have crashed so many drones
[01:58:20.200 --> 01:58:22.440]   I don't know. I don't know I know I want a drone
[01:58:22.440 --> 01:58:26.680]   But I don't care by one this one this one is definitely been
[01:58:27.320 --> 01:58:31.720]   By far the the easiest one to to work with there's some funky stuff that you if you haven't used
[01:58:31.720 --> 01:58:33.720]   And you that you have to learn like how to turn it on
[01:58:33.720 --> 01:58:36.120]   And and stuff like that it's just an rtfm problem
[01:58:36.120 --> 01:58:40.520]   But it's but it isn't like you just push the button you gotta push the button and then you go let let go and then hold it down
[01:58:40.520 --> 01:58:41.160]   and
[01:58:41.160 --> 01:58:45.400]   um, you know, there's a lot of little things like that but uh within 15 minutes after I
[01:58:45.400 --> 01:58:51.800]   Charged it all the batteries. I was flying, you know, now it's just like I fly almost every day with it
[01:58:51.800 --> 01:58:56.280]   You know somewhere in the world. I need a I need a leo safe drone
[01:58:57.000 --> 01:58:59.880]   Safe, although you do, you know, it's got little radar
[01:58:59.880 --> 01:59:01.800]   It's got like it'll tell you when you're getting close to things
[01:59:01.800 --> 01:59:06.440]   Although if you can I found I almost backed into a tree and backing up with the drones
[01:59:06.440 --> 01:59:11.000]   You want to make sure you got enough so if I get this software then you don't drive it at all
[01:59:11.000 --> 01:59:15.080]   You just say go no no you say I just want I want this information a little void trees
[01:59:15.080 --> 01:59:19.720]   Well, I usually when I'm mapping I'm mapping from higher than the trees so
[01:59:19.720 --> 01:59:22.440]   A lot of times I'm you know
[01:59:22.440 --> 01:59:26.280]   I'm getting up and then I go up a little higher from the trees like the map that I did
[01:59:26.280 --> 01:59:28.280]   I think the drone was at 250 feet
[01:59:28.280 --> 01:59:33.400]   Um your maximum, you know altitude is 400 legal altitude is 400 feet
[01:59:33.400 --> 01:59:39.240]   So I haven't DJ and I announced that anybody who bought a spark has to get the firmware updated. It'll stop working
[01:59:39.240 --> 01:59:44.040]   September 1st because yeah, that's uh they fall out of the sky sometimes
[01:59:44.040 --> 01:59:49.640]   Well, I don't know. I thought that was a no fly zone issue. Um, you know, I thought it was too
[01:59:49.640 --> 01:59:52.920]   But apparently they've had some defects that uh, it will just
[01:59:53.640 --> 01:59:55.640]   It will just go turn off and fall
[01:59:55.640 --> 01:59:58.520]   That would be a problem, right?
[01:59:58.520 --> 02:00:03.320]   I had a phantom that did that that just it was it was going it was fine and then it fell from 20 feet
[02:00:03.320 --> 02:00:05.640]   But your mavic pro has been rock solid
[02:00:05.640 --> 02:00:11.480]   It has been rock solid. It you know, I just I I've been flying it almost every day and it's been
[02:00:11.480 --> 02:00:15.960]   And what's the name of this software the mapping software? Uh, it's called drone deploy
[02:00:15.960 --> 02:00:18.280]   deploy
[02:00:18.280 --> 02:00:23.400]   All right, and it's what's crazy is looking at what they're doing like they it'll actually look at your it'll map it
[02:00:23.480 --> 02:00:28.120]   And show you based on the RGB values and the and whatever else it's pulling in it's actually mapping
[02:00:28.120 --> 02:00:33.240]   uh, the uh, like the health of the grass so it's you know for agriculture and
[02:00:33.240 --> 02:00:37.720]   So there's a lot of things that you know, this becomes a much more industrial solution for your drone
[02:00:37.720 --> 02:00:43.800]   Of being able to track construction projects, you know, look at your crops. Uh, look at your yard, you know, all that stuff
[02:00:43.800 --> 02:00:51.160]   That's probably not what donk and sinfield is using for his apple canvas drone. No, I don't think so he's probably using an inspire
[02:00:52.120 --> 02:00:54.120]   X wing
[02:00:54.120 --> 02:00:57.400]   Hey guys, it's it that's it. We're done
[02:00:57.400 --> 02:01:01.160]   But thank you so much for being here always great to see you Alex lindsey at the pixel core
[02:01:01.160 --> 02:01:06.360]   If you want to know what Alex is up to the best thing to do is to follow him on the twitter at alex
[02:01:06.360 --> 02:01:09.000]   l-i-n-d-s-a-y
[02:01:09.000 --> 02:01:11.560]   And um, we are finally after
[02:01:11.560 --> 02:01:16.840]   All of this stop start stop start start start start we're gonna open up the pixel core membership again for beta
[02:01:16.840 --> 02:01:20.280]   Oh my god. You're kidding. Yeah, so so we're gonna
[02:01:20.280 --> 02:01:24.680]   You if you go up and get on the mailing list from the web on the website just sign up for them interest
[02:01:24.680 --> 02:01:26.680]   That'll be aware of the we only have a limited number of
[02:01:26.680 --> 02:01:33.880]   Openings we're gonna send it out to that list first. Um, but if you're but it's gonna be mostly focused around live streaming training
[02:01:33.880 --> 02:01:38.200]   related to live streaming AR VR that type of thing so
[02:01:38.200 --> 02:01:44.280]   Uh, so they're um, I think that there is a interest button there. Yeah, you can fill that out in the interest list
[02:01:44.280 --> 02:01:48.840]   Uh, so if definitely fill it out. Um, there'll be more of that over the next a couple weeks
[02:01:49.000 --> 02:01:51.880]   Um, but we're gonna again send out the the blast
[02:01:51.880 --> 02:01:54.360]   Um to everyone from that that web page
[02:01:54.360 --> 02:01:57.880]   Well first to the former members and then and then to that that list and so
[02:01:57.880 --> 02:02:03.480]   Um, and then we'll uh, they'll make it more public, but uh, we we're pretty excited about it. I think it's gonna be uh
[02:02:03.480 --> 02:02:06.120]   Uh, we're gonna dump a lot of information
[02:02:06.120 --> 02:02:09.000]   So very nice very nice
[02:02:09.000 --> 02:02:16.840]   And an echo chicago's sun times his website his blog c w o b dot com also and the eye on flicker
[02:02:17.960 --> 02:02:19.160]   and uh
[02:02:19.160 --> 02:02:25.720]   In not co on the instagram good worth following on instagram i h n a t k. Oh, that's his twitter handle
[02:02:25.720 --> 02:02:28.040]   Thanks anything else you want to plug
[02:02:28.040 --> 02:02:31.720]   Nope. I'm nope. That's it. I put a long signal a little singer song
[02:02:31.720 --> 02:02:34.600]   side by side
[02:02:34.600 --> 02:02:41.720]   And finally i'm more dot com's amazing rene richy. He writes their millions of words every year
[02:02:41.720 --> 02:02:46.920]   But he can also be heard on many of their podcasts you'll find out more at i'm wollstone.com
[02:02:47.720 --> 02:02:52.760]   And I guess uh, if you get you and Andy might get invitations and
[02:02:52.760 --> 02:02:58.360]   Singers cross tim cook willing maybe i'll get an invitation by next week
[02:02:58.360 --> 02:03:03.160]   And uh, we'll have we'll know we'll know a little more on our next episode
[02:03:03.160 --> 02:03:08.520]   Uh, if there's going to be an apple event september 12th, I figure they got to tell us by next week
[02:03:08.520 --> 02:03:11.160]   God tell us by the 11th at least
[02:03:11.160 --> 02:03:15.880]   Uh, thanks everybody for joining us if you want to join us in studio
[02:03:15.880 --> 02:03:19.960]   We'd love to have you we don't we don't people sometimes come by and say I don't want to watch a show
[02:03:19.960 --> 02:03:21.880]   I want a studio tour. There's no such thing
[02:03:21.880 --> 02:03:26.440]   We haven't built the tram yet, but if we ever do i'll let you know but for right now
[02:03:26.440 --> 02:03:32.120]   Pretty much the way you can come visit us has come to one of the shows and you can do that by emailing tickets at twitt
[02:03:32.120 --> 02:03:37.480]   Dot tv would love to have you nice nice group here today
[02:03:37.480 --> 02:03:41.320]   Uh, yeah, there they are waving from orlando florida and from
[02:03:41.320 --> 02:03:44.680]   Somewhere around here pleasant it
[02:03:45.000 --> 02:03:47.480]   Where you told me I have it right here on my little car
[02:03:47.480 --> 02:03:54.280]   We've been over and find that there they're also visiting from martinez. I don't know why I can i remember that
[02:03:54.280 --> 02:03:59.960]   Uh, if if you don't want to be in studio, but you want to watch the show live you can do that too because we stream it
[02:03:59.960 --> 02:04:04.120]   Uh, all you have to it's on youtube and you stream and uh and twitch and everything
[02:04:04.120 --> 02:04:08.840]   But all you have to do really is go to our website twit.tv slash live and you can pick the stream there twit.tv
[02:04:08.840 --> 02:04:12.840]   Slash live have it running while you're working in the corner there whatever
[02:04:13.240 --> 02:04:18.120]   Uh, you if you're gonna be uh watching live you could also be in the chat room and chat live with us at irc.t
[02:04:18.120 --> 02:04:24.760]   Twitt.tv. We'd love that you can also get on demand audio and video of this show and everything we do at twitt.tv in this case
