
[00:00:00.000 --> 00:00:04.240]   It's time for Mac Break Weekly Andy and Alex are here along with Renee Richie
[01:49:12.520 --> 01:49:15.560]   Because i was going to mention and this is a little more expensive than your grid it
[01:49:16.200 --> 01:49:20.520]   Uh, but but i've been you know i've got a trip coming up and i've been looking for the perfect
[01:49:20.520 --> 01:49:26.360]   uh carry-on, uh bag and i see people with roller bags for their carry-ons and i
[01:49:26.360 --> 01:49:29.000]   And i regret not having that i have a lot of laptop bags
[01:49:29.000 --> 01:49:31.880]   Because you know you check in you get rid of your heavy luggage
[01:49:31.880 --> 01:49:34.920]   But then you have to carry around this bag for the rest of the time
[01:49:34.920 --> 01:49:38.360]   I mean if it's if it's got your laptop and your ipad and your camera and a bunch of other stuff
[01:49:38.360 --> 01:49:42.520]   My measurement or my backpack is is that it's too heavy if i can't feel my hands after 45
[01:49:44.280 --> 01:49:47.400]   So, uh, i went to Briggs and Riley and they sell very nice
[01:49:47.400 --> 01:49:50.040]   Stuff i'm a big fan
[01:49:50.040 --> 01:49:54.840]   And got their roller carry-on that now they have one that's small enough to fit into like even the
[01:49:54.840 --> 01:49:59.640]   Commuter jets, which right, you know you could put like a roll of lifesavers in that luggage carrier up there
[01:49:59.640 --> 01:50:04.520]   Uh, and it has it's it's not four wheels it's too although it looks like they have a four-wheel one as well here
[01:50:04.520 --> 01:50:08.040]   Don't do it. What don't get the four get the two wheel. Yeah
[01:50:08.040 --> 01:50:12.280]   And then and it's got a really cool. Let me see if i can enough i don't know if this is the one i
[01:50:12.920 --> 01:50:14.920]   The rolling cabin bag i think it is
[01:50:14.920 --> 01:50:16.360]   um
[01:50:16.360 --> 01:50:22.760]   And then it uh, it then it also if it's under the seat but also it open instead of being like a laptop bag when it opens up
[01:50:22.760 --> 01:50:25.080]   It's just a big bag
[01:50:25.080 --> 01:50:29.000]   That you could put clothes in and then it has a laptop pouch in the front
[01:50:29.000 --> 01:50:34.360]   So i'm thinking if i put the grid it inside there to hold my stapler
[01:50:34.360 --> 01:50:38.200]   Yeah, you do you carry a stapler on a line?
[01:50:38.200 --> 01:50:40.360]   Well, you know, yeah, you need a stapler if
[01:50:40.360 --> 01:50:45.880]   Because we leave a red swing line back of the back of the brick house someone's gonna nick they steal it every time i come back from my trip
[01:50:45.880 --> 01:50:48.120]   And my swing line's gone. So i'm bringing my stapler wing
[01:50:48.120 --> 01:50:54.120]   Uh, so very cool. I mean I like these Briggs and Riley's I will bring mine in and you can look at it
[01:50:54.120 --> 01:50:55.880]   Well, I like tried it. I liked it so much
[01:50:55.880 --> 01:50:58.200]   I got one for Lisa too because we're going on vacation in september
[01:50:58.200 --> 01:51:02.360]   So we'll have this when we get on the plane you roll no longer have to lift
[01:51:03.240 --> 01:51:08.360]   Folds up, but even has this little back handle that flips around so it goes on the other luggage when the roller is up
[01:51:08.360 --> 01:51:14.280]   And attaches securely lots of nice little thing brings me Riley makes nice stuff 20 years old by the way, they're celebrating
[01:51:14.280 --> 01:51:17.240]   so
[01:51:17.240 --> 01:51:19.400]   But that's 329 bucks so
[01:51:19.400 --> 01:51:25.560]   I want to put the 15 dollar grid it in there 40 dollar grid it in there and be very very happy
[01:51:25.560 --> 01:51:31.240]   I have them in three different sizes. They're really I i'm so excited. I've never seen such a thing and it really works
[01:51:32.040 --> 01:51:36.680]   It's I I wish I unfortunately I was busy up until like five minutes before the show
[01:51:36.680 --> 01:51:42.760]   Or else I would have taken the one that I keep that just it has one copy of of of an iPhone charger cable
[01:51:42.760 --> 01:51:49.320]   One copy of a usb of a micro usb cable one copy of a 10 watt charger one copy of
[01:51:49.320 --> 01:51:55.560]   Like everything that I need when i'm spending three hours at a coffee shop and the great and it's all organized
[01:51:55.720 --> 01:52:02.280]   Also another key is to have a duplicate of everything so that this is this is where that one copy of that cable goes
[01:52:02.280 --> 01:52:06.120]   Yes, it will. Oh, I don't have to be on rob peter to pay paul anywhere in the house
[01:52:06.120 --> 01:52:09.080]   It's where that thing won ball. So i'm going to buy another stapler
[01:52:09.080 --> 01:52:13.240]   Certainly one at home and put one of my grid it and then I'll always have it the ream of paper
[01:52:13.240 --> 01:52:20.120]   The stapler the whole punch you should also have like NFC tags on each one of those things so that you can with people
[01:52:20.120 --> 01:52:23.480]   You can skip check it in and check it out. Yeah of every room that you go in
[01:52:25.480 --> 01:52:30.520]   Now they have aluminum and I don't know what the other one is do you recommend the metal or is there a lot of torque on the
[01:52:30.520 --> 01:52:33.000]   I guess it's probably plastic the other one
[01:52:33.000 --> 01:52:34.680]   um
[01:52:34.680 --> 01:52:40.120]   Aluminum they say they double side of the room and they make they make different they make different kinds of
[01:52:40.120 --> 01:52:42.280]   I use you have a probably
[01:52:42.280 --> 01:52:46.680]   I have like a first I have the first generation ones that aren't even backed with like metal or plastic
[01:52:46.680 --> 01:52:47.480]   Okay
[01:52:47.480 --> 01:52:50.360]   The because the because if you if you do over on that
[01:52:50.520 --> 01:52:55.320]   I think maybe that was like an innovation to give you two-sided storage right or something
[01:52:55.320 --> 01:52:59.800]   It's double-sided so you got one side and you got the other side and then you really got some
[01:52:59.800 --> 01:53:02.680]   Here you go now you're cooking with gas now you're cooking with gas
[01:53:02.680 --> 01:53:05.000]   I could have two staplers and a roll of stamps
[01:53:05.000 --> 01:53:07.080]   And emolles
[01:53:07.080 --> 01:53:11.800]   Replacement staples let a little let her open her extra staplers, extra staples
[01:53:11.800 --> 01:53:19.800]   Very very handy. I am ready for this trip. We're going on an office supply cruise. It's going to be so great. Yeah, I'm very excited
[01:53:20.440 --> 01:53:25.560]   Annie Naka writes for the Chicago Sun times his review of the 11 20 appears tomorrow if he could just get his aperture open
[01:53:25.560 --> 01:53:28.840]   If I can just start if I could just not do this
[01:53:28.840 --> 01:53:35.160]   Okay, so now this picture from the iphone 5 next to this picture from the 10 20 command shift 4
[01:53:35.160 --> 01:53:39.400]   Move on now this picture from the from the from the lx1
[01:53:39.400 --> 01:53:41.960]   Damn it. Why do I do why am I thorough?
[01:53:41.960 --> 01:53:44.680]   Stop being so thorough
[01:53:44.680 --> 01:53:48.120]   Stop it. I get paid. I could pay the same whether I do a good job or not
[01:53:48.120 --> 01:53:50.440]   I should just you know not do a good job sometimes
[01:53:50.440 --> 01:53:53.240]   Wow
[01:53:53.240 --> 01:53:59.640]   There you go. It's very moving speech. No, I'm just I'm just I'm just I'm just I'm just I've never listed it
[01:53:59.640 --> 01:54:03.320]   So much sympathy and empathy from fellow writers in my life that when I tweeted
[01:54:03.320 --> 01:54:08.680]   Today facing the task of like screenshotting and putting these things that this is for every tech
[01:54:08.680 --> 01:54:16.360]   Even no matter how long I'm running about technology doing screenshots and stuff like that is still like eating vegetables
[01:54:16.440 --> 01:54:21.880]   I will push them to the side of the plate. It is the last thing I will do because I hate it so much
[01:54:21.880 --> 01:54:28.200]   It's like not creative. It's just technical and boring and it has to be done and I just got oh man
[01:54:28.200 --> 01:54:34.440]   This is the worst thing too. I hate doing that. I want to I want to get rich enough that I could just hire some high school kid to do it for me
[01:54:34.440 --> 01:54:39.880]   My entire photo stream is filled with screenshots right now. Oh, I hate that. Hey that feeling
[01:54:39.880 --> 01:54:43.880]   That's rene richie. I'm more.com if you want to follow him and he also
[01:54:44.600 --> 01:54:51.000]   Is participating in a very exciting talk mobile project at talk mobile 2013.com new stuff this week
[01:54:51.000 --> 01:54:55.240]   Yes, sir. This is enterprise week and since that's a little boring
[01:54:55.240 --> 01:54:57.880]   We tried to make it as fun as possible
[01:54:57.880 --> 01:55:04.360]   And one thing that might be interesting to people who are nerdier as I spend an hour with guy english talking about the new mac pro
[01:55:04.360 --> 01:55:09.240]   And open cl and what those giant gpu's mean and that's in our vector podcast
[01:55:09.640 --> 01:55:15.400]   It's it's nerdy, but it's really like he sees a whole new entirely different version of software coming for devices
[01:55:15.400 --> 01:55:19.560]   Yeah, I will certainly buy one of those mac pros just for my personal use
[01:55:19.560 --> 01:55:25.240]   But we are really trying we're up in the air here because we are at the point now where we have mac old mac pros
[01:55:25.240 --> 01:55:27.880]   Running final cut studio not 10
[01:55:27.880 --> 01:55:33.400]   And we really have to decide what's next and they may be on pc if if we we have I mean
[01:55:33.400 --> 01:55:37.720]   I'm worried that each of those you add a couple of thunderbolt to external drives
[01:55:38.360 --> 01:55:42.520]   It's gonna end up 10 grand a station. That's what we budget we budget 12
[01:55:42.520 --> 01:55:47.880]   Well, you got more money than god. I can't know we just don't have any. I don't think we have as many as you do
[01:55:47.880 --> 01:55:53.080]   Yeah, well, I don't know. We have five something like that. Thank you rene richy. Alex lindsey pixel core
[01:55:53.080 --> 01:55:57.880]   He's off to uh bastin i'm gonna be in a couple places and where else i'm tempted to do some
[01:55:57.880 --> 01:56:03.080]   Um some tweetups or meetups or whatever they call it. So i'm gonna um i'm gonna be in kansas city on
[01:56:03.640 --> 01:56:10.760]   Friday and then i'm gonna be in dc on saturday saturday and sunday and then i'll be in boston on monday and tuesday
[01:56:10.760 --> 01:56:16.120]   And um, so follow me on twitter and i'll i'm gonna see if I can sort out where to go. Um, but uh
[01:56:16.120 --> 01:56:19.960]   Anyway, can's the city i'm finding hbo by the way
[01:56:19.960 --> 01:56:24.120]   Just said we're actively supporting crone cas is another way for our subscribers to enjoy hbo go
[01:56:24.120 --> 01:56:26.280]   So they have awesome publicly announced that
[01:56:26.280 --> 01:56:28.600]   um
[01:56:28.600 --> 01:56:30.040]   revision three
[01:56:30.040 --> 01:56:35.960]   Songs uh, nice kind of scary if i were to count out how many devices a half in my house that are capable of getting netflix
[01:56:35.960 --> 01:56:38.120]   I know
[01:56:38.120 --> 01:56:39.080]   That's the
[01:56:39.080 --> 01:56:43.000]   My free unifying principle my one main tv has netflix on the tv
