;FFMETADATA1
title=He Left in a Hurry-cane
artist=Leo Laporte, Andy Ihnatko, Stephen Robles, Mikah Sargent
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2022-09-27
track=837
language=English
genre=Podcast
comment=Apple Watch Ultra, Super Bowl, Apple Pay Later
encoded_by=Uniblab 5.3
date=2022
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.680]   It's time for Mac break weekly and Ian Ocko's here Mike as Sargent's filling in for Jason Snell
[02:13:33.080 --> 02:13:39.400]   This is a this is an app for folks who take screenshots and like to post to them places
[02:13:39.400 --> 02:13:44.680]   Which is something that I do rather frequently as I'm helping people with questions they have or I'm showing
[02:13:44.680 --> 02:13:50.440]   That zoom keeps serving up ads on my paid account even though I should not be getting ads on my paid account
[02:13:50.440 --> 02:13:53.480]   Anyway, that's a decide and so I could take screenshots
[02:13:53.480 --> 02:13:58.040]   And this lets you add sort of a pleasing background to them
[02:13:58.040 --> 02:14:01.960]   But it also has these smart features where if you take a screenshot that's a little wonky
[02:14:01.960 --> 02:14:07.560]   You can use the balance button and it figures out. Oh, this is the content that you're trying to show
[02:14:07.880 --> 02:14:12.360]   The rest of this is just background it can then sort of position it in the center
[02:14:12.360 --> 02:14:15.000]   And then make the the background larger or smaller
[02:14:15.000 --> 02:14:23.640]   You can redact text automatically and what I love too is that it has all of the different social media image sizes built into it
[02:14:23.640 --> 02:14:25.880]   So you can very quickly create
[02:14:25.880 --> 02:14:28.920]   The perfect screenshot so that it posts at full
[02:14:28.920 --> 02:14:33.720]   Size on twitter or if you're posting to instagram facebook pinterest etc
[02:14:34.120 --> 02:14:38.600]   All of those are what are there as well and it's got a built-in watermarking feature
[02:14:38.600 --> 02:14:42.600]   So it is I use a different tool for a more
[02:14:42.600 --> 02:14:46.680]   Basic screen shotting but when I want to take a screenshot
[02:14:46.680 --> 02:14:52.920]   And then just post it in a way that looks good and will work on the specific site that I'm using
[02:14:52.920 --> 02:14:56.920]   Snapper is the new one that I really like and I would recommend this
[02:14:56.920 --> 02:15:03.400]   Um, of course, you know, maybe you just want this app on its own you can get it for uh, 30 dollars as a one-time purchase
[02:15:03.800 --> 02:15:09.400]   But the real value I feel is by getting it as part of a set app subscription
[02:15:09.400 --> 02:15:14.200]   Uh, because when you do then you get access to a bunch of other fantastic mac apps that are available
[02:15:14.200 --> 02:15:19.080]   And there's you know dozens of them, but yeah, this is snapper
[02:15:19.080 --> 02:15:24.840]   And it just does a great job of uh making screenshots that look good
[02:15:24.840 --> 02:15:28.760]   Z. I'm sorry x n a p p e r
[02:15:28.760 --> 02:15:31.400]   Yes snapper
[02:15:31.400 --> 02:15:33.400]   Snapper got shot
[02:15:34.200 --> 02:15:40.440]   I have a other website actually actually says underneath it x napper read like snapper
[02:15:40.440 --> 02:15:42.920]   Yeah, they're very clear
[02:15:42.920 --> 02:15:47.640]   And sometimes you have to explain it's spelled to it, but it's pronounced char day
[02:15:47.640 --> 02:15:50.200]   uh
[02:15:50.200 --> 02:15:51.880]   bouquet
[02:15:51.880 --> 02:15:53.880]   President's
[02:15:53.880 --> 02:15:56.200]   I as you know, I have a problem
[02:15:56.200 --> 02:16:03.080]   Um, I will uh wake up in the middle of the night and start scrolling through my instagram feed and end up buying weird
[02:16:03.080 --> 02:16:04.600]   underwear
[02:16:04.600 --> 02:16:06.680]   I stopped using instagram because
[02:16:06.680 --> 02:16:10.840]   The ads were too good too good plus. I don't want to support facebook
[02:16:10.840 --> 02:16:13.560]   Well along comes the og app now
[02:16:13.560 --> 02:16:18.120]   This is brand new and I can't imagine they're going to be able to continue doing this very long
[02:16:18.120 --> 02:16:26.120]   So you might want to download it right now. Uh, it's on uh, uh, the ios uh store as well as the android google play store
[02:16:26.120 --> 02:16:28.920]   It is instagram without the ads
[02:16:28.920 --> 02:16:32.920]   without uh, it's without the algorithm
[02:16:33.400 --> 02:16:36.440]   It's just the people you follow it's kind of instagram
[02:16:36.440 --> 02:16:41.080]   It's og the old school instagram their instagram the residual gangster
[02:16:41.080 --> 02:16:46.040]   Let me show you if you have the over the shoulder shot. This is my instagram feed on the og app
[02:16:46.040 --> 02:16:51.240]   And it looks just like my instagram feed. It's even got the reels up at the top
[02:16:51.240 --> 02:16:54.280]   Uh, I can like I can comment
[02:16:54.280 --> 02:17:00.120]   The one thing as far as I can tell you I can't do is post and I which means it's taking advantage of instagram's web
[02:17:00.760 --> 02:17:04.920]   Uh, api to download this but just no ads alone
[02:17:04.920 --> 02:17:11.480]   For me makes instagram suddenly this great thing because you're free writing completely on facebook's service
[02:17:11.480 --> 02:17:15.320]   Uh, which means I think at some point facebook's going to do something about this
[02:17:15.320 --> 02:17:17.880]   But until they do
[02:17:17.880 --> 02:17:21.480]   Hallelujah, it's og instagram
[02:17:21.480 --> 02:17:24.040]   Just search for the og app
[02:17:24.040 --> 02:17:28.040]   In the app store the the developers of the app seem
[02:17:28.760 --> 02:17:34.440]   Rather optimistic about things when they were asked about it. They're like, uh, we don't see any changes coming to instagram api
[02:17:34.440 --> 02:17:36.840]   This should be fine. Yeah, it's uh, I
[02:17:36.840 --> 02:17:42.840]   I heard about this app this morning and downloaded it and uh, i love it as well. It's like, oh, it's and I was
[02:17:42.840 --> 02:17:46.360]   Impressed that they were able to still get the reels showing and everything else
[02:17:46.360 --> 02:17:51.480]   Um, so yeah, I'm impressed with it. I do wish that you could post from it, but I understand why well
[02:17:51.480 --> 02:17:53.800]   I think that's not in the api which is
[02:17:55.080 --> 02:18:02.040]   I you know instagram has a web interface, you know, you can go to instagram.com and I think it's that's kind of maybe where they're getting
[02:18:02.040 --> 02:18:03.800]   This from
[02:18:03.800 --> 02:18:09.400]   Uh, which maybe it means that instagram won't kill it because they they want people to do this the creators
[02:18:09.400 --> 02:18:12.440]   Uh, anch nanda and hardic patil
[02:18:12.440 --> 02:18:14.920]   Uh have some money
[02:18:14.920 --> 02:18:19.960]   Um because they have had previous successes in the app store. So
[02:18:20.520 --> 02:18:23.720]   Um, they they their company uni feed published the og app
[02:18:23.720 --> 02:18:25.640]   they um
[02:18:25.640 --> 02:18:30.600]   They they met while working at kirana card a grocery delivery app. You may know it better zepto
[02:18:30.600 --> 02:18:33.480]   Which raised i swear you're just speaking
[02:18:33.480 --> 02:18:36.360]   All these names
[02:18:36.360 --> 02:18:40.760]   You know, I know that he was only in the first two marks brothers movies, but oh, yeah
[02:18:40.760 --> 02:18:46.760]   He made a bigger contribution to most people say, uh, they had raised 200 million dollars in may so
[02:18:47.560 --> 02:18:51.400]   They're gonna be around it has a lot of features that are great
[02:18:51.400 --> 02:18:57.240]   You can even and this is something that doesn't work very well on instagram follow subject matter
[02:18:57.240 --> 02:18:59.240]   so uh
[02:18:59.240 --> 02:19:04.760]   You can create alternative feeds and share them with your friends for food or whatever, you know, you're interested in
[02:19:04.760 --> 02:19:08.360]   Uh without following those accounts kind of like twitter lists
[02:19:08.360 --> 02:19:11.080]   Oh, that's neat. Yeah
[02:19:11.080 --> 02:19:14.600]   Now can I can I enter a practical question at this point? Yes
[02:19:15.160 --> 02:19:20.680]   On a scale of one to 100 what are the chances that this is just a scam to get people's login credentials
[02:19:20.680 --> 02:19:24.840]   It uses the api so you use the oauth, um, you are
[02:19:24.840 --> 02:19:32.520]   So they don't see it. I hope not. I mean, I guess they could we don't know I love i love i love humanity
[02:19:32.520 --> 02:19:34.680]   I suspect people it is it does
[02:19:34.680 --> 02:19:39.640]   To an instagram and instagram page where you log in and then authorize it, but
[02:19:39.640 --> 02:19:41.000]   Okay, so it doesn't see you
[02:19:41.000 --> 02:19:45.960]   Checked this morning when I was using it to make sure it was truly the instagram site and all that kind of stuff
[02:19:45.960 --> 02:19:52.280]   Um, but I was I'm with you, uh, Andy in terms of I was I was skeptical about that too and a little worried at first
[02:19:52.280 --> 02:19:58.600]   But once I saw that it was using that form of login as opposed to just type in your user name and password here
[02:19:58.600 --> 02:20:02.920]   I would have said now i'm not doing that. Yeah. Yeah, so maybe just you know consider
[02:20:02.920 --> 02:20:07.640]   Maybe wait a little bit see I mean apple approved it. That's a good sign, right?
[02:20:08.440 --> 02:20:12.680]   Well, it has you know, I'm here in the google play store. It has over 100 downloads
[02:20:12.680 --> 02:20:17.560]   It's brand new folks. I know I know that means that that means that could be thousands
[02:20:17.560 --> 02:20:22.840]   They just have one up. Okay, but it's like okay. No, that skepticism. I think is important. It is a fair
[02:20:22.840 --> 02:20:24.200]   point
[02:20:24.200 --> 02:20:29.960]   Only reason I did is because once I saw they were making use of the official api and the only way to log in was through that
[02:20:29.960 --> 02:20:34.200]   Easily revocable option where they don't ever get access to your actual credentials
[02:20:34.200 --> 02:20:39.320]   Right. I was fine, but it was annoying that then when I went to the instagram app after that
[02:20:39.320 --> 02:20:43.480]   Um, I got all these prompts about you've logged in from a different thing
[02:20:43.480 --> 02:20:47.800]   We need to confirm that it's actually you can you tell us uh check if this is still your phone number if it's still your phone number
[02:20:47.800 --> 02:20:52.760]   We're gonna send you a code. Oh, is this still the email that you're you it made me do this whole security check out just to get back in
[02:20:52.760 --> 02:20:56.200]   Just another reason not to use the Instagram app, huh? Yeah, exactly
[02:20:56.200 --> 02:20:59.080]   I guess you have to if you want to post
[02:20:59.720 --> 02:21:04.600]   Micah, thank you for filling in on short notice for Alex Lindsey. He had to go and do some work
[02:21:04.600 --> 02:21:12.920]   That which does happen from time to time mike is the host of iOS today with rosemary orchard a must-see podcast if you use iphones or ipads
[02:21:12.920 --> 02:21:20.200]   Or I guess teav apple tv and apple watches as well. Yeah, all sorts of stuff everything but macOS I guess
[02:21:20.200 --> 02:21:22.920]   Yeah, we should call it
[02:21:22.920 --> 02:21:28.520]   Everything but mac how are you doing that weather display behind you is that a what is that?
[02:21:29.080 --> 02:21:31.720]   Oh, this is one of the most common questions I get
[02:21:31.720 --> 02:21:36.360]   This is called the tid bite t i d b y te
[02:21:36.360 --> 02:21:42.280]   And it is a really cool programmable led display. Oh, sorry. There's no e on the end. Oh, my apologies
