;FFMETADATA1
title=TASTE THE MUSTARD!
artist=TWiT
album_artist=TWiT
album=MacBreak Weekly
track=718
genre=Podcast
comment=https://twit.tv/mbw
copyright=These podcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2020
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.040]   It's time for Mac break weekly and he's here Alex is here Lori's here
[02:16:52.160 --> 02:16:56.880]   Most but I think it varies from state to state but most states that's completely not a problem
[02:16:56.880 --> 02:17:04.800]   Uh, transmissions are either encrypted or unencrypted if they're unencrypted then please know exactly that this is something that people do
[02:17:04.800 --> 02:17:06.400]   Yeah, it's through the air
[02:17:07.200 --> 02:17:11.120]   Alex lindsey we're going to end with you. How many Alex's is this going to cost me?
[02:17:11.120 --> 02:17:16.640]   Not not many not many not many at all in fact, it's almost free not quite free
[02:17:16.640 --> 02:17:22.800]   So I've talked about it before but I think that they they have a new update that I think is kind of interesting and something
[02:17:22.800 --> 02:17:24.960]   I've been thinking about and this is bellus 3d
[02:17:24.960 --> 02:17:28.960]   And this is an iphone app that will let you scan your head
[02:17:28.960 --> 02:17:31.600]   And so I bring it back
[02:17:32.400 --> 02:17:37.200]   Zerox machine because that was a lot of fun. Exactly. Exactly except you get 3d out the other end
[02:17:37.200 --> 02:17:45.040]   And so there are two uses one is one of the reasons I wanted to bring it up right now is they they actually have a new update to let you build your own
[02:17:45.040 --> 02:17:50.560]   Face mask so the structure or your face mask. I thought I thought that leo might i'm gonna do this right now
[02:17:50.560 --> 02:17:54.400]   Yeah, yeah, so you can basically scan your face and then it will build
[02:17:54.400 --> 02:17:58.480]   The the kind of that hard structure that you might want around your mask
[02:17:58.960 --> 02:18:04.160]   Um, you know for you and you it'll just it'll export an stl for a couple dollars two or three dollars or something like that
[02:18:04.160 --> 02:18:06.240]   And then you can just print it out on your printer
[02:18:06.240 --> 02:18:10.560]   And so so I think it's kind of cool. It'll also export it'll export the stl of that mask
[02:18:10.560 --> 02:18:13.520]   But you can also export an obj of your head
[02:18:13.520 --> 02:18:17.040]   And then the interesting thing about that is that if you want to design your own mask
[02:18:17.040 --> 02:18:19.520]   And so here's what i'm because what i'm working on is
[02:18:19.520 --> 02:18:23.040]   I can't believe someone hasn't done this yet and i'm not gonna turn into a business
[02:18:23.040 --> 02:18:28.880]   So i'm just gonna tell all you my big plan is they make these dpas without the hard piece here
[02:18:28.880 --> 02:18:32.720]   They make them just out of an end of the court. That's what they use in opera and and they make countrymen
[02:18:32.720 --> 02:18:35.840]   Well, the microphone uses the the microphone. I'm sorry here
[02:18:35.840 --> 02:18:40.240]   The microphone I use that it's a headset that I forgot to switch over to my other one. I hope I sounded okay today
[02:18:40.240 --> 02:18:42.240]   Yeah, yeah, yeah, anyway, so
[02:18:42.240 --> 02:18:45.200]   Um, so anyway, so this microphone
[02:18:45.200 --> 02:18:50.880]   They make it with just a little real thin cable. That's the same width as this this is here
[02:18:50.880 --> 02:18:53.600]   But it's so what I want to do is I want to have a face mask
[02:18:53.600 --> 02:18:58.720]   I have to do production and I need to be on comms and comms and face masks aren't
[02:18:58.720 --> 02:19:01.360]   You know, don't get it get along
[02:19:01.360 --> 02:19:04.720]   So what i'm working on right now is i'm scanning my face with bellis
[02:19:04.720 --> 02:19:07.520]   exporting to three an obj and then building
[02:19:07.520 --> 02:19:14.240]   Um a face mask that is designed to basically allow me to it's got little hooks on it that allow me to kind of snap in
[02:19:14.240 --> 02:19:17.280]   a countryman inside of it
[02:19:17.280 --> 02:19:21.600]   You want to wear a mask with your microphone in it with a mic inside of it
[02:19:21.600 --> 02:19:24.320]   Wow
[02:19:24.320 --> 02:19:26.160]   And so i'm using it for that um
[02:19:26.160 --> 02:19:31.040]   To do but i'm doing a little mind's a little harder because i'm actually building a 3d model of what I want
[02:19:31.040 --> 02:19:32.480]   And then then i'll put a
[02:19:32.480 --> 02:19:35.760]   It's an outer it'll be an ectoskeleton on the inside that i'll put something on it
[02:19:35.760 --> 02:19:37.920]   I'll put the face mask on the outside
[02:19:37.920 --> 02:19:42.880]   But on the inside it'll be something that I can snap my my mic into so that I can go back and have you know
[02:19:42.880 --> 02:19:44.720]   Have it be part of the comms
[02:19:44.720 --> 02:19:48.080]   Anyway, so that um but the point is is that i want to design your own mask
[02:19:48.080 --> 02:19:49.680]   There you go
[02:19:49.680 --> 02:19:52.080]   Are you absolutely certain this isn't just an excuse to
[02:19:52.080 --> 02:19:54.400]   Professionally wear a stormtrooper mask
[02:19:54.400 --> 02:19:57.840]   Because it sounds like you know, my way you're describing is a stormtrooper mask
[02:19:57.840 --> 02:20:01.680]   I don't I don't know if we were we were I'm missing but i'm still waiting for my bane mask
[02:20:01.680 --> 02:20:03.680]   I'm I I really what I
[02:20:03.680 --> 02:20:08.880]   You know, I my my big dream is to have the bane mask and go to Whole Foods and say i're looking for the bananas
[02:20:08.880 --> 02:20:10.800]   And uh, yeah
[02:20:10.800 --> 02:20:12.800]   You know, so so anyway, but the uh
[02:20:13.920 --> 02:20:20.240]   Yeah, no, I I I think that masks are a really fun creative opportunity for us that we haven't that we I don't think we've fully leveraged yet
[02:20:20.240 --> 02:20:24.400]   So I have a lot of boring masks and I realize that I haven't been really thinking hard enough so
[02:20:24.400 --> 02:20:30.560]   He's going after a little while and and this these masks have little hooks for the rubber bands so you can
[02:20:30.560 --> 02:20:35.760]   You put that over your rate of your surgical mask you need to be a but I could put it over my mask
[02:20:35.760 --> 02:20:41.360]   I guess and then the rubber bands hold it in place. This is very interesting and incidentally
[02:20:41.360 --> 02:20:45.760]   You don't have to have a 3d printer. They have uh, they have partners who will print them off
[02:20:45.760 --> 02:20:50.480]   For you right so you can scan your face and just and then have have one delivered
[02:20:50.480 --> 02:20:53.360]   Wonder how much it is
[02:20:53.360 --> 02:20:56.960]   I don't know, but I I was thinking you can send it to shapeways and have it made out of metal. Oh
[02:20:56.960 --> 02:21:02.080]   Now we're getting baby. That we're getting baney
[02:21:02.080 --> 02:21:05.120]   This is cool, man
[02:21:05.520 --> 02:21:13.920]   Follow-up question are we absolutely sure this isn't actually being produced by a Chinese company that wants to improve their ability to
[02:21:13.920 --> 02:21:16.720]   underneath masks
[02:21:16.720 --> 02:21:19.920]   It's a
[02:21:19.920 --> 02:21:21.920]   99 from forecast 3d
[02:21:21.920 --> 02:21:24.880]   Is 20 bucks and they have a variety of colors
[02:21:24.880 --> 02:21:32.560]   And uh, you obviously have to stay deeper than a face mask. I would buy send them the uh, model any tips for doing a bell is 3d
[02:21:32.560 --> 02:21:35.280]   Model Alex anything. I should know easy
[02:21:35.600 --> 02:21:41.120]   You literally follow the instructions you open it up like this and it says turn your head this way turn your head that way
[02:21:41.120 --> 02:21:45.280]   And that's it and it's got a 3d model. It's it's a it's a super easy app to use
[02:21:45.280 --> 02:21:48.960]   I'm ordering it right now. I hope I get it by next show because I will wear it
[02:21:48.960 --> 02:21:51.760]   Okay, well you have to do the scan
[02:21:51.760 --> 02:21:54.240]   Yeah, well like that's that takes no time
[02:21:54.240 --> 02:21:59.840]   No, it doesn't it takes a minute. I used to have this on my uh, they also do a dental thing. I don't know
[02:21:59.840 --> 02:22:02.880]   For dental. I saw that I was like, I don't know what that is
[02:22:03.440 --> 02:22:06.240]   You're gonna want want to wash your phone after that. I think
[02:22:06.240 --> 02:22:09.280]   Do not put the phone in your mouth
[02:22:09.280 --> 02:22:15.600]   Uh, that was fun. Thank you super fun. Thank you. Yeah, absolutely Andy and ako
[02:22:15.600 --> 02:22:18.320]   Appearances coming up on gbh
[02:22:18.320 --> 02:22:22.240]   Yep gbh on friday probably at 1130
[02:22:22.240 --> 02:22:25.920]   They've been they've been kind enough to like try to reschedule me
[02:22:25.920 --> 02:22:31.840]   After my usual time of 1130 because every now and then the mayor or the governor wants to talk about
[02:22:31.920 --> 02:22:35.360]   Whatever's going on particularly with the various cataclysm sitting us
[02:22:35.360 --> 02:22:41.360]   So probably 1130 if not about an hour after that either way go to go to wgbh
[02:22:41.360 --> 02:22:43.360]   News.org
[02:22:43.360 --> 02:22:48.240]   On friday night or saturday morning. You'll be able to just do a search for my segment and you'll be able to find it
[02:22:48.240 --> 02:22:52.800]   Very no, I'm sorry. I was scanning my face. Sorry
[02:22:52.800 --> 02:22:56.000]   I was listening lab if I can elaborate
[02:22:56.000 --> 02:22:58.560]   on that
[02:22:58.640 --> 02:23:02.640]   about these tech segments is that we talk about the issues more about gadgets
[02:23:02.640 --> 02:23:06.880]   So while I might be speaking a little bit about ww dc
[02:23:06.880 --> 02:23:12.400]   We're probably going to be talking a lot about about these eu and house judiciary committee
[02:23:12.400 --> 02:23:15.280]   uh anti-trust
[02:23:15.280 --> 02:23:22.880]   Investigations also we are considerably considered concerned about facial facial identity facial recognition
[02:23:22.880 --> 02:23:27.600]   particularly as opposed as how ibm and amazon
[02:23:28.400 --> 02:23:32.480]   And i m and uh microsoft or as trying to keep out of the 90
[02:23:32.480 --> 02:23:36.400]   Look it's me
[02:23:36.400 --> 02:23:39.040]   Mario look at that
[02:23:39.040 --> 02:23:42.000]   That's wild
[02:23:42.000 --> 02:23:45.200]   You could show it on the uh over the shoulder john can you
[02:23:45.200 --> 02:23:47.920]   It even it's because all of these is this part
[02:23:47.920 --> 02:23:51.760]   Maybe I shouldn't have smiled. What do you think? I think it says don't smile
[02:23:51.760 --> 02:23:55.280]   Try it again
[02:23:55.760 --> 02:23:59.840]   Isn't that what is that you will apple be able to create an an emoji like custom based
[02:23:59.840 --> 02:24:01.440]   Yeah, I mean wouldn't that be a better animal?
[02:24:01.440 --> 02:24:03.920]   You know, I think that make it nice and cartoon like them
[02:24:03.920 --> 02:24:09.760]   Yeah, exactly has to be yeah, I do think you could take that look you could take it's coming alive
[02:24:09.760 --> 02:24:12.720]   I am the green to the power
[02:24:12.720 --> 02:24:18.240]   I know attention to the man behind the disc. She's louise
