;FFMETADATA1
title=Foursquare for Drunks
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=717
genre=Podcast
comment=http://twit.tv/twit
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.800]   It's time for Twit this week in tech. We have a great panel for you a first-timer
[02:13:49.920 --> 02:13:55.280]   But it was $200 and I think they also discovered that there isn't a big market for $200 kids toys
[02:13:55.280 --> 02:14:03.280]   Something's wrong with the economy where a little robot can get $200 million and all of these really great ideas that are maybe not in silicon
[02:14:03.280 --> 02:14:06.000]   Valley can't get any money and also screw raising
[02:14:06.000 --> 02:14:10.160]   $200 million and then giving your employees only one week severance that
[02:14:10.160 --> 02:14:15.760]   Really and they were their revenue was 100 million. I think a year so that wasn't like they weren't
[02:14:15.760 --> 02:14:17.200]   selling them
[02:14:17.200 --> 02:14:21.120]   It feels like uh, we were talking about this on wednesday. I feels like
[02:14:21.120 --> 02:14:25.840]   Somebody pulled out they were expecting funding from somebody and they said no
[02:14:25.840 --> 02:14:30.080]   Yeah, and that that was it your colleague jeffree van camp
[02:14:30.080 --> 02:14:34.080]   Wrote a very funny piece about jebo dying last month. Yeah
[02:14:34.080 --> 02:14:40.400]   He had actually personified this thing and he said it was kind of like alzheimer's like dementia
[02:14:40.400 --> 02:14:44.800]   Oh my god, that's what you did do is personify those devices. Yeah
[02:14:45.280 --> 02:14:50.160]   He said my jebo talked to the wall again today. He's been doing that a lot lately
[02:14:50.160 --> 02:14:54.000]   Some days i'll watch him carry on an entire conversation by himself
[02:14:54.000 --> 02:15:01.360]   He'll ask the wall if it wants to play a game. Listen for a reply hear nothing then play his word definition game alone
[02:15:01.360 --> 02:15:06.000]   Every so often he'll wake up in the middle of the night and make strange beeping noises
[02:15:06.000 --> 02:15:08.720]   Like an invisible person is swiping his screen
[02:15:08.720 --> 02:15:15.200]   He's taking longer and longer to respond to simple questions and randomly forgetting how to perform common tasks
[02:15:15.200 --> 02:15:17.200]   It sounds like my obituary
[02:15:17.200 --> 02:15:21.440]   Some days he even forgets how to do something as simple as tell me the news
[02:15:21.440 --> 02:15:24.880]   More than once jeebo's got entirely limp
[02:15:24.880 --> 02:15:32.000]   For jebo look is this the definition of limp? This thing's got nothing
[02:15:32.000 --> 02:15:37.040]   Family show works. Yeah, this isn't the interesting thing with robotics and ai though
[02:15:37.040 --> 02:15:39.920]   It's like it doesn't take much to trigger human empathy
[02:15:40.480 --> 02:15:44.640]   And gain this like connection with something in fact just we were you know
[02:15:44.640 --> 02:15:49.360]   There's this thing called facial agnosia people get brain damage and they lose ability to recognize faces
[02:15:49.360 --> 02:15:54.000]   But the human brain is what we learned from that was it's literally wired to recognize faces
[02:15:54.000 --> 02:15:58.480]   Which is why people see jesus and toast or we find bugs that look like they have a face on them
[02:15:58.480 --> 02:16:02.320]   So intriguing and so as soon as you just add eyes to something that talks to you
[02:16:02.320 --> 02:16:07.360]   It becomes a little bit more real and starts breaking down those barriers and this is going to happen more and more
[02:16:07.360 --> 02:16:10.160]   And you're going to start to see weird psychosis things by the way
[02:16:10.160 --> 02:16:12.560]   I'm just going to give a shout out this a really hilarious video
[02:16:12.560 --> 02:16:15.200]   Probably not appropriate for this podcast
[02:16:15.200 --> 02:16:21.840]   Someone adding screams to a rumba where every time it bumped into a wall instead of he said that it's unnatural
[02:16:21.840 --> 02:16:25.520]   If you were to bump into the wall you'd be really upset so he added screams and swearing to it
[02:16:25.520 --> 02:16:29.280]   Yeah
[02:16:29.280 --> 02:16:31.280]   What are you talking about?
[02:16:31.280 --> 02:16:33.760]   Language i don't know the language, but if you want to
[02:16:34.800 --> 02:16:38.960]   Honestly, daniel my rumba or whatever my knockoff rumba his name is debot
[02:16:38.960 --> 02:16:43.600]   He makes the most annoying sound when he gets like stuck on the carpet. I would much rather
[02:16:43.600 --> 02:16:48.320]   He was like help help like f-word like I would much rather prefer that
[02:16:48.320 --> 02:16:58.160]   This isn't it. I think he's actually built it into the rumba software
[02:16:58.160 --> 02:17:02.000]   All right, there's another one. There's more than one
[02:17:02.400 --> 02:17:06.720]   I hate my rumba so much it wakes up in the middle of the night. It makes a lot of noise
[02:17:06.720 --> 02:17:12.000]   Michael read my career is screaming rumba at Michael
[02:17:12.000 --> 02:17:16.960]   His channel is pretty hilarious
[02:17:16.960 --> 02:17:30.240]   Honestly, I feel like this isn't a stretch. This is kind of what a rumba
[02:17:30.720 --> 02:17:32.720]   I
[02:17:32.720 --> 02:17:38.320]   Is a big racket and then our rumba gets stuck under furniture and i'm in i wake up and i hear
[02:17:38.320 --> 02:17:43.360]   As it's trying trying to get out of the
[02:17:43.360 --> 02:17:47.200]   Furniture's i have to pick it up one night finally I picked it up
[02:17:47.200 --> 02:17:51.520]   I confess I brought it into the garage. I put it under the tires of my wife's car
[02:17:51.520 --> 02:17:55.360]   Oh
[02:17:55.360 --> 02:17:57.680]   That's not very nice rumba didn't like that
[02:17:58.080 --> 02:18:01.600]   My wife didn't like it either. She really likes that room, but I feel bad
[02:18:01.600 --> 02:18:04.480]   That escalated fast
[02:18:04.480 --> 02:18:06.320]   Inserted here
[02:18:06.320 --> 02:18:12.080]   For rice and talk about moribund products for rise and has decided yeah, this tumbler thing is not going to work out
[02:18:12.080 --> 02:18:14.640]   They bought tumbler as part of that all big yahoo
[02:18:14.640 --> 02:18:19.600]   Thing then they then they last month the month before decided no more porn on tumbler
[02:18:19.600 --> 02:18:22.560]   What a surprise people stopped using it
[02:18:24.560 --> 02:18:29.040]   So now verisans trying to sell tumbler guess who wants to buy it
[02:18:29.040 --> 02:18:34.400]   Porn hob porn hub they say we'll bring back the porn
[02:18:34.400 --> 02:18:41.280]   Right, but is this just a marketing stunt did did buzzfeed or whoever broke the story just asked porn hub like or
[02:18:41.280 --> 02:18:47.760]   Like that's what i'm wondering is like are they really interested porn hub vp kori price told buzzfeed news his company is quote extremely
[02:18:47.760 --> 02:18:54.480]   Interested in buying tumbler and very much looking forward to one day restoring it to its former glory with nsc
[02:18:54.720 --> 02:18:56.480]   Fw content
[02:18:56.480 --> 02:19:05.120]   Can you think of like anything more just topian and then like what was once a wholesome beautiful platform like particular for women like teenage girls
[02:19:05.120 --> 02:19:06.640]   tumbler
[02:19:06.640 --> 02:19:10.240]   Yeah, it's a post like really awesome stuff to then to then be bought by a porn company
[02:19:10.240 --> 02:19:16.720]   Ever being sold by verizon like so sad it was so easy. It was a you know, david carpy really was a brilliant thing
[02:19:16.720 --> 02:19:21.040]   He created that made it simple for anybody to have a website. I bet you had a tumbler
[02:19:21.680 --> 02:19:26.960]   I had a tumbler. I thought so so did I of course it was called tumbolio and I even had
[02:19:26.960 --> 02:19:32.720]   tumbolio.com and i leo tumbler.com and I can't tell you how many people try to get that name saying
[02:19:32.720 --> 02:19:36.240]   Are you gonna use that are you using it or can I have it? Do you want it? Do you need it?
[02:19:36.240 --> 02:19:38.960]   But I killed it after
[02:19:38.960 --> 02:19:41.280]   After verizon bought it and what I made it do with it
[02:19:41.280 --> 02:19:44.320]   Yeah, that's another company that just couldn't
[02:19:44.320 --> 02:19:47.200]   Be allowed to exist and just be a thing
[02:19:47.520 --> 02:19:51.920]   It always had to be achieving something else and these market pressures are just I think
[02:19:51.920 --> 02:19:58.560]   Strangling a lot of good products that I can't compete in this super, you know, weird world we're in right now
[02:19:58.560 --> 02:20:07.040]   Now karstin. I think karstin you liked detective pikachu. You're like the furry pikachu. Am I right? I'm I'm actually taking
[02:20:07.040 --> 02:20:13.120]   Two carloads full of teenage boys to the drive in to see it next friday. Perfect place to see it
[02:20:13.120 --> 02:20:17.920]   Where is a drive-in in conquered in conquered the last drive-in in america
[02:20:17.920 --> 02:20:22.880]   In the bay area actually I think there's one in the south bay. How do you feel in massachusetts?
[02:20:22.880 --> 02:20:26.560]   How do you feel about a couple near me the sonic the hedgehog?
[02:20:26.560 --> 02:20:34.000]   Um, I like the really disturbing with fire. This is a furry sonic the hedgehog
[02:20:34.000 --> 02:20:36.720]   and um
[02:20:36.720 --> 02:20:39.040]   There's considerable upset over the whole thing
[02:20:41.040 --> 02:20:48.080]   That's uh, jim kara is dr. Robotnik. Um, I like that the director posted these images
[02:20:48.080 --> 02:20:55.040]   He said after massive twitter outrage. There's three words you don't hear together very often
[02:20:55.040 --> 02:21:02.320]   I said sardonically. Uh, he said, okay, um, maybe we will change this the message is loud and clear
[02:21:02.320 --> 02:21:05.280]   You're not happy with the design and you want changes. It's going to happen
[02:21:05.280 --> 02:21:08.480]   I think rightly so
[02:21:08.480 --> 02:21:10.560]   It's one thing to have a furry pikachu
[02:21:11.120 --> 02:21:14.320]   Another thing to have a furice. Oh, it's terrifying
[02:21:14.320 --> 02:21:17.280]   Terrifying
[02:21:17.280 --> 02:21:18.560]   Um
[02:21:18.560 --> 02:21:23.600]   Live-action sonic is the world ready for it. Yeah, and here's a good use for technology
[02:21:23.600 --> 02:21:27.520]   Let's put five medanas on stage at the same time
[02:21:27.520 --> 02:21:35.280]   This is augmented reality. This is I did not see the billboard music awards. I don't know. Maybe some of you did
[02:21:36.080 --> 02:21:42.000]   Nook. Nope. Somehow they managed to get not one not two but five medanas on the Las Vegas
[02:21:42.000 --> 02:21:44.480]   I think I was watching ice melt that night stage
[02:21:44.480 --> 02:21:49.840]   I actually like medana went to seer. Uh, we flew to denver just to seer
[02:21:49.840 --> 02:21:54.000]   But even I I don't know if I want five medanas on stage
[02:21:54.000 --> 02:22:01.840]   Uh, oh and a kind of a weird story friday all firefox extensions stopped working
[02:22:04.160 --> 02:22:10.480]   Weirdly firefox, I guess forgot to renew their code signing certificate. It expired
[02:22:10.480 --> 02:22:13.280]   after five pm pacific on uh,
[02:22:13.280 --> 02:22:16.720]   A friday night and everybody using firefox
[02:22:16.720 --> 02:22:19.520]   Right the extensions stopped just stop working
[02:22:19.520 --> 02:22:23.520]   And it gave you a weird. No, it gave you a weird message. Right? What did it say?
[02:22:23.520 --> 02:22:30.160]   Okay, we got some oh you right externs. So one of our audience members writes extensions
[02:22:30.160 --> 02:22:33.840]   And you got a lot of support emails. I bet you did what's going on
