;FFMETADATA1
title=Who Owns the Clone
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=816
genre=Podcast
comment=https://twit.tv/twit
copyright=These podcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2021
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.680]   It's time for Twit this week in tech. You are in luck a great show to come
[02:29:32.600 --> 02:29:35.960]   They taste great going down. Uh, i've yet to
[02:29:36.840 --> 02:29:43.000]   I always always regret eating it no covet but uh you get the diabetes. Yeah, you got that
[02:29:43.000 --> 02:29:48.200]   That's good, but you've got the 24 hour diabetes monitor. So you're okay. That's right
[02:29:48.200 --> 02:29:53.720]   In fact, I want you to go get that donut and then tell us how high I know exactly what it would be
[02:29:53.720 --> 02:29:58.520]   Oh, like 180 240. Yeah, exactly. You're not diabetic. You're just testing this out, right?
[02:29:58.520 --> 02:30:05.480]   I'm doing it because I have poor glucose disposal. So it's just like something that we discover when taking a glucose tolerance test
[02:30:05.480 --> 02:30:10.520]   So I mean I have to like do extra more more cardio to get in the normal range. I am tight too
[02:30:10.520 --> 02:30:13.160]   I mean I control it
[02:30:13.160 --> 02:30:18.760]   But uh, but are you a metformin user or no? I have a little metformin in my pocket. Yes
[02:30:18.760 --> 02:30:21.320]   There's some good life extension property. I know
[02:30:21.320 --> 02:30:25.800]   You know the doctor said your your a1c has been so good you can get off the metformin
[02:30:25.800 --> 02:30:27.800]   I said but wait, I want to live forever don't it
[02:30:27.800 --> 02:30:34.280]   Does it have other values and it's pretty harmless, right? It's not it's not a I miss the run forever. Yeah
[02:30:34.600 --> 02:30:40.520]   And I don't tell any future about feeling expensive, but I yeah, I told I told him uh, no, I want the life extension benefits
[02:30:40.520 --> 02:30:46.440]   Hey as long as we're on this so he said eat more crispy cream. You can stay on metformin for the rest of your life. Yeah
[02:30:46.440 --> 02:30:51.320]   Yes, Kevin. Do you do any nor like nor tropics? Do you do any?
[02:30:51.320 --> 02:30:54.920]   Like I bet he's microdosing as we speak
[02:30:54.920 --> 02:30:59.240]   Uh, no actually I don't do a ton. The only thing I do is I have a genetic
[02:30:59.640 --> 02:31:04.200]   mutation that I found by doing that whole 23 meeting that makes me a bad
[02:31:04.200 --> 02:31:11.160]   Metholator B vitamins on my homocysteine is high and so I take a special high dose B vitamin did not down the homocysteine
[02:31:11.160 --> 02:31:13.160]   Which has been linked to um
[02:31:13.160 --> 02:31:19.240]   You know our our plaque and in the arteries. So my dad died of a heart attack. So I got a pace
[02:31:19.240 --> 02:31:25.400]   Special was pretty bad. Yeah, he was pretty young. Yeah. Yeah, he was early 70s. So that was a that was a bummer, but for me
[02:31:25.400 --> 02:31:27.400]   That's pretty young
[02:31:27.400 --> 02:31:32.280]   I I'm very I'm very aware of how close to mid 70s. I'm getting so yeah
[02:31:32.280 --> 02:31:37.880]   I'm gonna do I'm gonna send in my genetics to those that company. I've learned a lot
[02:31:37.880 --> 02:31:41.160]   You might have saved my life this week, Kevin. Thank you. I do the sauna
[02:31:41.160 --> 02:31:46.040]   I do sauna and uh sulfur of fame is also something that I do infrared or what?
[02:31:46.040 --> 02:31:50.360]   No, actually traditional like like sauna that good for you. I love so
[02:31:50.360 --> 02:31:53.160]   Also, dude, we we built a sauna
[02:31:54.040 --> 02:31:57.720]   All calls mortality goes down by like 30 percent like steam or dry
[02:31:57.720 --> 02:32:03.480]   You have to get to a certain temperature. I think is what the sweet spots 174 for 20 minutes a day
[02:32:03.480 --> 02:32:08.280]   Fahrenheit now before you were doing the cold thing. Have you stopped doing that?
[02:32:08.280 --> 02:32:10.760]   I don't I don't do the cold as much in the winter
[02:32:10.760 --> 02:32:15.720]   I will just to kind of like harden up a little bit just to kind of like give me it's like nice extra couple
[02:32:15.720 --> 02:32:19.320]   caffeine in the morning. Yeah, your heart's pounding. Yeah
[02:32:20.200 --> 02:32:25.480]   But I do the sauna at least I want to I've always wanted a sauna. I love but I like steam
[02:32:25.480 --> 02:32:30.520]   So yeah, that's what I do too. Yeah, I like because I don't want why I just poured over the hot rock
[02:32:30.520 --> 02:32:33.320]   Yeah, did you build one?
[02:32:33.320 --> 02:32:36.520]   We have it. Yeah, we built a pretty um
[02:32:36.520 --> 02:32:40.120]   We built a pretty awesome sauna in our house
[02:32:40.120 --> 02:32:44.920]   It has an automatic shut off. I mean, you're not gonna like fall asleep in there, but
[02:32:46.280 --> 02:32:50.840]   And for you, it's not an open flame. It's a electric heater or something. It's electric
[02:32:50.840 --> 02:32:55.240]   But it's it's in a enclosed space and it's amazing. I would love that. We also
[02:32:55.240 --> 02:33:02.440]   Um optimized our bed as long as we're just quickly trading some ideas here. Um, so I don't know if I want to know about this
[02:33:02.440 --> 02:33:04.680]   There's this company called ooler
[02:33:04.680 --> 02:33:06.680]   that makes a
[02:33:06.680 --> 02:33:11.000]   fitted blanket with conduit running through it and uh in it on
[02:33:11.000 --> 02:33:15.880]   So it's cooler without the sea is it? Yeah, it's a bed cooling
[02:33:15.880 --> 02:33:20.280]   Yeah, now I will say if anybody listening to this is anywhere near this company
[02:33:20.280 --> 02:33:26.440]   You need to fix your janky ass app, uh and the bluetooth connectivity, which is so hugely problematic
[02:33:26.440 --> 02:33:33.800]   But um, I sleep at 60 degrees every night and then you're supposed to see it's better for you to sleep cool, right?
[02:33:33.800 --> 02:33:37.160]   Yeah, right well it regulates my body temperature for me at night
[02:33:37.160 --> 02:33:42.120]   And then I have it set at around five o'clock to start because I like to wake up early warm. Yep
[02:33:42.120 --> 02:33:46.280]   Um, so it it goes up to about 115 degrees. I don't think Lisa's go except this
[02:33:46.280 --> 02:33:52.440]   Should we actually aim electric blanket because she gets so cold. I don't know if I should get and I wait to blanket on top of me
[02:33:52.440 --> 02:33:53.480]   Yeah
[02:33:53.480 --> 02:33:58.040]   I had that ooler as well and I love doing my god, but the app right?
[02:33:58.040 --> 02:34:04.200]   We'll say that no well sleep eight is better. It's just better app better tech is less like eight
[02:34:04.200 --> 02:34:08.600]   Yeah, yeah, great. Okay. It's it's basically like you know when you lean on the ooler
[02:34:08.600 --> 02:34:11.480]   It still feels like you're kind of like laying on something because there is those courses
[02:34:11.480 --> 02:34:16.200]   I'm going underneath you sleep late super cozy and it does all the same things better technology
[02:34:16.200 --> 02:34:20.200]   It looks like your HRV and everything and adjust things dynamically. Do you want it to?
[02:34:20.200 --> 02:34:24.040]   How do you spell sleep eight because I found uh, or maybe eight sleep?
[02:34:24.040 --> 02:34:26.760]   Maybe they do the other way around but they have they have one that yeah
[02:34:26.760 --> 02:34:28.400]   It's a it's a hygien
[02:34:28.400 --> 02:34:34.120]   Ht eight sleep calm. I like our mattress. We've got like a I have a cast
[02:34:34.120 --> 02:34:37.960]   They have one that zips on top of of your existing mattress so you can do it without the
[02:34:37.960 --> 02:34:42.200]   Without buying a whole new mattress. That's what I got. That's what I want to have to buy a whole new mattress
[02:34:42.200 --> 02:34:46.120]   I mean, so there's it's interesting like there's a whole bunch of sleep tech
[02:34:46.120 --> 02:34:50.280]   Trying to optimize your sleep and you're sort of unconscious
[02:34:50.280 --> 02:34:53.080]   You know, you're you're letting somebody else take care of you while while you're asleep
[02:34:53.080 --> 02:34:57.800]   But I will say between the my husband has the a conduit
[02:34:59.000 --> 02:35:05.240]   Weighted blanket and I just have the way to blanket so we now but but I'm sleeping better than I've probably ever slept
[02:35:05.240 --> 02:35:10.440]   Sleeping cool is body temperature regulated. I'm not gonna that people who are watching and listening
[02:35:10.440 --> 02:35:17.080]   Are now saying next thing leo's gonna tell him he tapes his mouth shut. So I'm not gonna mention that
[02:35:17.080 --> 02:35:22.200]   I've done that but I have been doing that after reading james nesters brit breath
[02:35:22.200 --> 02:35:24.920]   Yes, great book great book
[02:35:24.920 --> 02:35:27.480]   with what kind of tape
[02:35:27.720 --> 02:35:29.720]   Oh, now you got me started on amazon
[02:35:29.720 --> 02:35:32.600]   It's three micro pore surgical tape. You don't lose
[02:35:32.600 --> 02:35:39.480]   Post a bad latex allergy. No latex. I don't think and you you don't uh, you don't just a postage stamp
[02:35:39.480 --> 02:35:42.040]   if you had to because
[02:35:42.040 --> 02:35:45.480]   Sometimes I have to sneeze and there's nowhere to
[02:35:45.480 --> 02:35:48.920]   So you don't want to tape the whole thing
[02:35:48.920 --> 02:35:51.640]   This way you go
[02:35:51.640 --> 02:35:53.640]   at the side, but
[02:35:53.640 --> 02:35:56.120]   All right enough for that
[02:35:56.120 --> 02:35:58.120]   And a humidifier
[02:35:58.120 --> 02:36:01.320]   Have a humidifier. Okay. Yeah, I mean this way
[02:36:01.320 --> 02:36:05.560]   Is very deep rabbit hole. Oh, yeah, I've got our bedroom is
[02:36:05.560 --> 02:36:12.440]   Is very high-tech for a good night's sleep is perhaps one of man's most worthy
[02:36:12.440 --> 02:36:14.760]   causes
[02:36:14.760 --> 02:36:20.840]   Because I mean especially as you get older. I don't I don't sleep well at all and if I could have a good night's sleep
[02:36:20.840 --> 02:36:24.120]   Just once I would love that
[02:36:24.840 --> 02:36:26.840]   I
[02:36:26.840 --> 02:36:31.880]   Weighted blanket weighted blanket really that's huge really really you both agree
[02:36:31.880 --> 02:36:39.080]   So I had to wait a bit extra heavy one. I sleep under a 20 pound weighted blanket now. Nice. Which way did you get?
[02:36:39.080 --> 02:36:43.480]   It's uh, I forget the name of the brand. It was a little
[02:36:43.480 --> 02:36:49.320]   It it uses micro beads. So I've had problems with them before where they pool up, you know
[02:36:49.320 --> 02:36:50.440]   Yes
[02:36:50.440 --> 02:36:56.600]   Is this like the thundercoat that you put on your dog when there's thunder and because they feel pretty much
[02:36:56.600 --> 02:37:00.120]   It's the same thing you just basically makes you like all wrapped up in a little baby
[02:37:00.120 --> 02:37:03.480]   It makes it so you can't flop around
[02:37:03.480 --> 02:37:10.520]   I'm an active sleeper and I I've had insomnia. I gotta tell you I I don't I fall asleep
[02:37:10.520 --> 02:37:13.560]   And I don't move at night and I'm just getting more restful sleep now
[02:37:13.560 --> 02:37:19.400]   This just in from the chat room 3m micro pore surgical tape is a latex-free hypoallergenic
[02:37:19.880 --> 02:37:22.440]   Paper-based tape and man that stuff sticks
[02:37:22.440 --> 02:37:26.760]   It is it holding mouth. Well, I don't want to like ruin my beautiful skin
[02:37:26.760 --> 02:37:31.240]   No, I was worried that I was gonna start I do it every night now. I can't sleep with that
[02:37:31.240 --> 02:37:37.240]   It's it's it's you know what maybe we're supposed to torture ourselves at sleep at night like do you know
[02:37:37.240 --> 02:37:43.800]   Maybe I should have somebody come in and spank me because the weighted blanket the tape over the lips the cold
[02:37:43.800 --> 02:37:48.280]   It's like we spend sleep is sleep is
[02:37:49.080 --> 02:37:51.080]   extraordinarily important
[02:37:51.080 --> 02:37:57.880]   It is the moment that is the our cells regenerate like you get like if all the things to optimize in my life
