;FFMETADATA1
album=This Week in Tech
genre=Podcast
encoded_by=Uniblab 5.3
title=Elon's Little Chisel
language=English
artist=Leo Laporte, Alex Kantrowitz, Ranjan Roy
album_artist=TWiT
publisher=TWiT
track=937
date=2023
TRDA=2023-07-24
comment=<p>Twitter to X, FedNow, Meta&\#039\;s LLaMA 2, riding in a Waymo, Kevin Mitnick</p>\

encoder=Lavf60.3.100

[00:00:00.000 --> 00:00:04.560]   It's time for Twit this week in Tech. It's a big technology takeover this week on
[02:09:46.280 --> 02:09:50.680]   Rods this week in space launched as it were in the club
[02:09:50.680 --> 02:09:56.520]   Uh, we've got hands on mac hands on windows the untitled linux show also coming up
[02:09:56.520 --> 02:09:59.240]   Uh, I know we had to cancel. I'm sad to say
[02:09:59.240 --> 02:10:01.160]   Uh
[02:10:01.160 --> 02:10:05.880]   The wonderful aunt Pruitt show hands on photography, but but it's really basically been taken into the club
[02:10:06.200 --> 02:10:11.800]   He's gonna do a photo critique session on august 4th and then we are planning a downtown
[02:10:11.800 --> 02:10:14.200]   Photo walk
[02:10:14.200 --> 02:10:21.640]   I will be there. Lisa'll be there saturday 6 p.m. In petaluma. So if you're north in california on august 26th
[02:10:21.640 --> 02:10:24.920]   Please and you don't have to be a club member for that
[02:10:24.920 --> 02:10:26.200]   We would love to see you
[02:10:26.200 --> 02:10:31.000]   But if you're in the club click that interested button so we can get some idea of how many people are showing up
[02:10:31.000 --> 02:10:33.000]   We've got a book club at the end of the month
[02:10:33.320 --> 02:10:40.440]   And then september 7th. I don't know if you were around when aunt interviewed hoey the author of the wolf series
[02:10:40.440 --> 02:10:43.640]   Which was the basis of the apple tv plus show
[02:10:43.640 --> 02:10:45.400]   silo
[02:10:45.400 --> 02:10:50.200]   Uh hue is good friends with another friend of the networks daniel sware as the author of
[02:10:50.200 --> 02:10:54.200]   demon and freedom tm and so many other great books. They are going to join aunt
[02:10:54.200 --> 02:10:59.160]   On stage i'll be there too september 7th. I'm not going to miss this one
[02:10:59.720 --> 02:11:06.280]   Uh, which is a thursday at 2 p.m. For a special fireside chat with two of our great science fiction authors
[02:11:06.280 --> 02:11:10.840]   Those are just some of the events that are in the club you also get ad-free versions of all the shows
[02:11:10.840 --> 02:11:15.880]   You get special shows. We don't put out anywhere else you get access to our fantastic club twit
[02:11:15.880 --> 02:11:18.440]   discord
[02:11:18.440 --> 02:11:21.160]   Full of animated gifts of all kinds
[02:11:21.160 --> 02:11:24.360]   So get in the club seven bucks a month
[02:11:24.840 --> 02:11:29.800]   There's a yearly plans his family plans his corporate plans. We would love to have you
[02:11:29.800 --> 02:11:34.360]   Go up to it. Thank you mash potato for
[02:11:34.360 --> 02:11:36.600]   very timely
[02:11:36.600 --> 02:11:43.640]   Give i have been checking all through the show twitter is still blue there is still a bird so we don't know when that's going to
[02:11:43.640 --> 02:11:46.280]   change
[02:11:46.280 --> 02:11:49.080]   Uh, we will end the show with a on a sad note
[02:11:49.080 --> 02:11:52.840]   Uh one of the one of my good friends for a long time a guy
[02:11:53.320 --> 02:11:55.320]   Who used to come on the screen savers
[02:11:55.320 --> 02:12:02.680]   Uh, he was a hacker. He became a security guru and expert on social engineering
[02:12:02.680 --> 02:12:08.120]   Uh, the great kivin mittnik passed away sad to say at the young age of 59
[02:12:08.120 --> 02:12:15.320]   Uh, this week our our heart felt condolences to his family and friends. I think he has a baby on the way
[02:12:15.320 --> 02:12:19.240]   Very sad, but I thought I would use this occasion to bring up
[02:12:20.040 --> 02:12:24.440]   An episode of the screen savers we did 20 years ago
[02:12:24.440 --> 02:12:27.400]   when kevin joined us
[02:12:27.400 --> 02:12:30.520]   Now remember he'd been convicted of hacking and
[02:12:30.520 --> 02:12:36.200]   The conditions of his parole was that he would not go on the internet for some time
[02:12:36.200 --> 02:12:39.400]   Uh 20 years ago
[02:12:39.400 --> 02:12:40.360]   He
[02:12:40.360 --> 02:12:43.240]   Finally got the letter saying he could go on the internet
[02:12:43.240 --> 02:12:48.600]   And he very kindly agreed to wait until he could come on our show the screen savers on tech tv
[02:12:49.240 --> 02:12:52.200]   Uh kevin joined us on the screen savers
[02:12:52.200 --> 02:12:55.800]   Yes, that's a very young leo loport
[02:12:55.800 --> 02:13:00.840]   And we brought in some uh some special
[02:13:00.840 --> 02:13:04.440]   Yes to join kevin
[02:13:04.440 --> 02:13:08.760]   The first time in eight years kevin mittnik is finally going to be allowed back online and it's going to happen
[02:13:08.760 --> 02:13:11.640]   Today. Welcome kevin. It's good to have you on the
[02:13:11.640 --> 02:13:14.360]   Yes, let me introduce a manual gold steam
[02:13:14.840 --> 02:13:20.840]   One of the guests of 2600 the hacker quarterly he was the devil on kevin's left shoulder community
[02:13:20.840 --> 02:13:22.840]   Do you know each other very well?
[02:13:22.840 --> 02:13:28.120]   He actually helped start the free kevin movement. All right. There you go. So you got and I see you brought some gifts
[02:13:28.120 --> 02:13:30.200]   Yeah, I brought this for myself, but you can have uh
[02:13:30.200 --> 02:13:32.520]   Champagne
[02:13:32.520 --> 02:13:37.800]   For all your celebrating and to show you that times have changed there's a new book out now called take down
[02:13:37.800 --> 02:13:41.400]   Oh no, not to take down that you're so familiar with this is a book about you
[02:13:41.400 --> 02:13:43.160]   No, no, no, there was another book
[02:13:43.160 --> 02:13:46.280]   Kevin hated john mark off spoke about him called take down
[02:13:46.280 --> 02:13:51.480]   But he wasn't the only special guest we wanted to bring an angel in as well on his right shoulder
[02:13:51.480 --> 02:13:54.680]   Angelic side steve come on in steve was the act
[02:13:54.680 --> 02:13:58.680]   steve gave him the latest model
[02:13:58.680 --> 02:14:02.040]   Mac and tush power book
[02:14:02.040 --> 02:14:08.760]   And drew that that's awesome. Um, I thought it up this morning, but um our artist at the company drew it
[02:14:08.760 --> 02:14:10.040]   Look at that
[02:14:10.040 --> 02:14:14.520]   The new I hope you enjoy it. So don't disturb the picture and I'm pro choice
[02:14:14.520 --> 02:14:18.840]   So if you prefer a pc over a mac and thaw sh darcy, I'm sure can is this is the new
[02:14:18.840 --> 02:14:25.800]   Is this the new power book? That's it's it's the current one being sold. Oh boy. I'm gonna put this right here and and to be fair
[02:14:25.800 --> 02:14:31.560]   That's an apple product. Yeah, microsoft office and some blank DVDs. Anyway, the whole video is probably
[02:14:31.560 --> 02:14:33.960]   pirated up online
[02:14:33.960 --> 02:14:34.600]   on
[02:14:34.600 --> 02:14:36.120]   on youtube
[02:14:36.120 --> 02:14:40.280]   Uh, we just really enjoyed the time we got to spend with kevin. He was an amazing guy
[02:14:40.280 --> 02:14:45.720]   Uh one time he came on the show with a pile of tuna fish cans. He said all he ate in prison
[02:14:45.720 --> 02:14:47.960]   He was in jail for several years was tuna fish
[02:14:47.960 --> 02:14:51.720]   And he brought in all the leftover tuna cans
[02:14:51.720 --> 02:14:58.360]   Uh from his time in prison eight years. He was banned from the internet was able to come back on
[02:14:58.360 --> 02:15:00.920]   in, uh, I think it was uh july
[02:15:00.920 --> 02:15:02.200]   20
[02:15:02.200 --> 02:15:05.480]   2003 I think was exactly 20 20 years ago
[02:15:05.960 --> 02:15:08.920]   Uh kevin mitnick, uh, rip rest in peace
[02:15:08.920 --> 02:15:13.000]   Uh hack and peace kevin dead at the age of 59
[02:15:13.000 --> 02:15:19.320]   Uh, thank you so much to our panelists. I really appreciate the time we've get to spend with you Alex
[02:15:19.320 --> 02:15:21.560]   It's always good to see Alex can't for wits
[02:15:21.560 --> 02:15:25.800]   Uh, thank you for joining us. Yeah, great to see you. Thank you. Thank you so much
[02:15:25.800 --> 02:15:29.480]   Always great to get a chance to speak with you and talk about the latest in tech and
[02:15:29.480 --> 02:15:34.120]   You know, I think uh, I can speak for both of us with the big technology friday crew
[02:15:34.120 --> 02:15:38.280]   We're just so grateful to get the opportunity to come here and get a chance to show you and you're our listeners
[02:15:38.280 --> 02:15:41.880]   What we do every week so I really appreciate it. I'm just glad to have some brains on the show
[02:15:41.880 --> 02:15:43.880]   That's all
[02:15:43.880 --> 02:15:47.480]   I really appreciate it ron john ri really nice to meet you as well
[02:15:47.480 --> 02:15:51.320]   He not only hosts uh the friday edition of the big technology podcast
[02:15:51.320 --> 02:15:55.960]   He's also writer and editor of margins, which is online at reed margins
[02:15:55.960 --> 02:15:58.680]   Dot com
[02:15:58.680 --> 02:16:01.240]   Thank you ron john. I hope you come back. It's great to have you on
[02:16:02.040 --> 02:16:07.960]   Yep, thank you great to meet you w w w dot read you have to type the w w w and
[02:16:07.960 --> 02:16:10.680]   If you're going to go to read margins dot com
[02:16:10.680 --> 02:16:12.920]   um
[02:16:12.920 --> 02:16:14.520]   Really good stuff
[02:16:14.520 --> 02:16:18.280]   fascinating read about tech from the finance point of view. We always forget that
[02:16:18.280 --> 02:16:21.160]   How how would it join the two r?
[02:16:21.160 --> 02:16:25.480]   Ladies and gentlemen, that's it for this week in tech for this week
[02:16:25.560 --> 02:16:31.560]   Thank you all for joining us if you enjoy the show join the club twit.tv/club twit
[02:16:31.560 --> 02:16:35.800]   That helps us out of course you can watch us do it live as with almost all of our shows
[02:16:35.800 --> 02:16:39.560]   We stream them live at live. twit.tv if you're watching live
[02:16:39.560 --> 02:16:48.920]   Try chatting with us live our chat room and you can go there with a browser or an irc client is irc.twit.tv
[02:16:48.920 --> 02:16:54.360]   Uh, you can also of course chat in the discord if your club twit member as the show goes on
[02:16:54.760 --> 02:17:00.600]   After the fact the show is available on our website this week in tech at twit.tv/thisweekintech
[02:17:00.600 --> 02:17:05.240]   You'll also see on the page there a link to the youtube channel dedicated to this week in tech
[02:17:05.240 --> 02:17:10.680]   That's a great way to show to share clips with friends or family or just watch it
[02:17:10.680 --> 02:17:13.080]   Yourself
[02:17:13.080 --> 02:17:15.000]   uh, there's also uh
[02:17:15.000 --> 02:17:18.120]   Probably the best way to get it is uh subscribe. It's a podcast
[02:17:18.120 --> 02:17:20.520]   Find a find your favorite podcast
[02:17:20.520 --> 02:17:25.800]   Player and subscribe to this week in tech and you'll get it every sunday right after we do it sunday
