;FFMETADATA1
album=This Week in Tech
genre=Podcast
encoded_by=Uniblab 5.3
title=Leo is Awful
language=English
artist=Leo Laporte, Dan Patterson, Daniel Rubino, Abrar Al-Heeti
album_artist=TWiT
publisher=TWiT
track=936
date=2023
TRDA=2023-07-17
comment=<p>Microsoft Activision victory, Amazon Prime Day, writer&\#039\;s strike, Taylor Swift</p>\

encoder=Lavf60.3.100

[00:00:00.000 --> 00:00:05.080]   It's time for Twit this week in tech. I have I love this panel damn Patterson's back
[02:19:53.920 --> 02:19:58.800]   Um, but he got to start on tiktok. It's funny. He went from zero to
[02:19:58.800 --> 02:20:02.320]   It just took it took a few months because the algorithm picked it up
[02:20:02.320 --> 02:20:08.400]   And once the algorithm picks it up it launches you. It's pretty cool. It's the algorithm doesn't like me
[02:20:08.400 --> 02:20:14.160]   So I'm glad it likes that's great. You think it's uh because you wear a hijab. Do you think it's like?
[02:20:14.160 --> 02:20:15.360]   I don't know
[02:20:15.360 --> 02:20:20.800]   I I feel like I I wish I knew the answer, but you know, my friends like my tiktoks. So i'll take it
[02:20:20.800 --> 02:20:25.840]   Let's get some followers. What's your tiktok handle a bra?
[02:20:25.840 --> 02:20:30.640]   It's my first and last name. So it's a bra rlhitti. No hyphen. How hard is that?
[02:20:30.640 --> 02:20:33.280]   It's just yeah, it's just me being
[02:20:33.280 --> 02:20:36.480]   Uh ridiculous and anything that pops into my head. I just do it
[02:20:36.480 --> 02:20:40.080]   And it says tech reporter who downloaded this app for research
[02:20:40.080 --> 02:20:42.640]   Yeah, quote-unquote
[02:20:42.640 --> 02:20:49.680]   Wait a minute. That's wrong. Everybody please follow a bra right now. I appreciate that
[02:20:49.680 --> 02:20:55.360]   Um, I have a video my latest video is unboxing elan musk's burnt hair perfume
[02:20:55.360 --> 02:20:57.360]   So if you're into that
[02:20:57.360 --> 02:21:01.360]   My reaction it's awful. I sprayed one spray and then my entire apartment
[02:21:01.360 --> 02:21:06.400]   I had to like open all the windows light a candle. I don't know what's in there, but what's wrong with him
[02:21:06.400 --> 02:21:10.720]   I mean, it's a funny. It's a funny dad joke, but he actually made it
[02:21:11.360 --> 02:21:14.160]   He made it and sold out and you know, I bought it for work
[02:21:14.160 --> 02:21:21.840]   So I wasn't like personally purchasing it with my hard-earned dollars, but um, but I don't know why people are really excited
[02:21:21.840 --> 02:21:25.280]   Somebody commented on there saying sell it to me and I was like, oh, I mean, I'm happy to sell
[02:21:25.280 --> 02:21:29.040]   I don't want it anymore, but this people want it actually smell like burnt hair
[02:21:29.040 --> 02:21:31.200]   I think it does. I think it okay
[02:21:31.200 --> 02:21:33.200]   So the way I described it in my video, which is really weird
[02:21:33.200 --> 02:21:37.280]   But I said it smells like dirty outside, which if you don't live in san francisco, you might not understand
[02:21:37.280 --> 02:21:40.800]   But it's basically like that's what I feel like it smells like
[02:21:41.120 --> 02:21:43.120]   What is wrong with elan
[02:21:43.120 --> 02:21:47.520]   We have to have a whole show about that if you want an answer. I don't know
[02:21:47.520 --> 02:21:51.920]   I don't know it's sold out. So he's doing something right. He has his stance, doesn't he?
[02:21:51.920 --> 02:21:58.320]   Yeah, oh, absolutely. By the way, speak freely. Taylor's version thumbs up. Oh
[02:21:58.320 --> 02:22:04.400]   Oh my god double thumbs up. Uh, I'm going to her concert in two weeks and people are treating it like it's my wedding day
[02:22:04.400 --> 02:22:06.800]   Because they keep asking me when's the big day?
[02:22:06.800 --> 02:22:10.400]   That's a stir I call
[02:22:11.200 --> 02:22:15.040]   I shouldn't out you on this but how much did you spend on those tickets?
[02:22:15.040 --> 02:22:21.440]   I spent 365 for lower bolsey's and I would sell a kidney honestly at this point
[02:22:21.440 --> 02:22:24.240]   So it was a steal for me. That's not bad at all
[02:22:24.240 --> 02:22:27.520]   Yeah, so you got directly through ticket master
[02:22:27.520 --> 02:22:31.520]   Um, it was a whole debacle. I was supposed to have access
[02:22:31.520 --> 02:22:35.680]   You know for presale it, you know as we all know ticket master as a disaster
[02:22:35.760 --> 02:22:40.000]   It didn't work out and then a friend a friend of a friend sold them a face value for me
[02:22:40.000 --> 02:22:42.480]   So bless her. I hope she knows how much I appreciate it
[02:22:42.480 --> 02:22:45.360]   She doesn't even know me personally, but my friend told her that I am a dinosaur
[02:22:45.360 --> 02:22:47.920]   I'm glad she did she not want to see Taylor
[02:22:47.920 --> 02:22:52.560]   They had um, they had two friends that were successful. So they didn't need both tickets
[02:22:52.560 --> 02:22:57.440]   Uh, they was like a friend group that broke it all up. So thank you to that to that person that kind soul
[02:22:57.440 --> 02:22:59.760]   California Senate bill 829
[02:23:01.040 --> 02:23:07.920]   Bars entertainment facilities like arena amphitheers and stans from entering into exclusivity contracts with ticketing companies
[02:23:07.920 --> 02:23:10.400]   like ticket master
[02:23:10.400 --> 02:23:19.040]   Yes, um, let's hope that that passes because this is the problem is that ticket master insists on exclusivity with the venues
[02:23:19.040 --> 02:23:22.800]   And so artists like taylor swift have no choice but to use ticket master
[02:23:22.800 --> 02:23:28.880]   And then it becomes a personal battle like it falls upon the artist to kind of like she's really been
[02:23:29.200 --> 02:23:34.240]   Pushing and speaking openly against ticket master as much as she can not much you can do that much
[02:23:34.240 --> 02:23:38.240]   But it the onus falls upon them to make their fans happy
[02:23:38.240 --> 02:23:43.920]   But it's your lignation is just such a huge force and and venues don't want to lose out on that revenue either
[02:23:43.920 --> 02:23:46.240]   Where are you gonna see her?
[02:23:46.240 --> 02:23:50.480]   At levi's in san kahre. It's here. Yeah, she's in it's here. She's in town
[02:23:50.480 --> 02:23:55.040]   I'm taking the full day off. It's a friday because I feel like we have to leave it like noon
[02:23:55.280 --> 02:23:59.600]   Oh, yeah, to get there and like not deal with the traffic. Yeah, we used to go to nonus games
[02:23:59.600 --> 02:24:05.520]   Down there the trick is to drive part of the way and then take the train the rest of the way so you don't have to park
[02:24:05.520 --> 02:24:09.280]   Oh, that's smart. That's a good night. Okay. Thank you. I've been asking around for tips
[02:24:09.280 --> 02:24:15.920]   I needed to be asking you the whole time. Yeah. Yeah. Well, I worked for football games. I don't know tatay is something
[02:24:15.920 --> 02:24:18.480]   Something next level
[02:24:18.480 --> 02:24:24.240]   So not being a taylor swift fan. I had no idea, but I really admire her re-recording all of her
[02:24:24.960 --> 02:24:26.960]   albums because she lost the rights to the masters
[02:24:26.960 --> 02:24:30.000]   That's right. And uh, so she said well fine
[02:24:30.000 --> 02:24:35.120]   I'm just gonna record them as taylor's version and all my fans will buy from now on instead of
[02:24:35.120 --> 02:24:40.480]   The old version they'll buy taylor's version. I really admire that so I listened to the whole album. I enjoyed it
[02:24:40.480 --> 02:24:45.680]   I love that. I'm not a young woman. I feel like it's music for young women primarily
[02:24:45.680 --> 02:24:46.720]   It can't be
[02:24:46.720 --> 02:24:51.920]   Well, the thing that's really great about this is as much as much of a burden as it was for her to go through that and rerecord
[02:24:51.920 --> 02:24:55.040]   everything and as much as it, you know, surely cost her a lot of money to do it
[02:24:55.040 --> 02:25:00.240]   But people are rediscovering those albums. So that came out in 2010, but the re-releases in 2023
[02:25:00.240 --> 02:25:04.480]   So she's doing it in 2010, but sure and has lived life
[02:25:04.480 --> 02:25:09.120]   So I've I mean, i'm christina warren's also a big fan. She's yeah
[02:25:09.120 --> 02:25:15.600]   She's been reviewing track by track. Would you say are they identical to no their her voice is even different, right?
[02:25:15.600 --> 02:25:19.040]   Her voice is different. That's actually better. It's she's you know, her
[02:25:19.040 --> 02:25:22.480]   Her voice is or more mature exact vocals are more mature exactly
[02:25:22.480 --> 02:25:27.920]   It's richer and also, you know, they're there's slight very very slight differences in the songs, but usually it's better
[02:25:27.920 --> 02:25:33.520]   Um, and it just sounds cleaner. Uh, her voice has has improved obviously over the years
[02:25:33.520 --> 02:25:37.680]   So it's it's it's like a new and it's like a remaster. Are the music tracks the same?
[02:25:37.680 --> 02:25:41.840]   I mean, are they roughly the same? The production is the same. They're not re-ranging it
[02:25:41.840 --> 02:25:47.280]   It's just exactly because if it was rearranged people would be compelled to listen to the old version and that would completely
[02:25:47.280 --> 02:25:50.400]   To keep the purpose so they've done a really good job recreating everything
[02:25:50.400 --> 02:25:53.760]   Yeah, she how did she do that she owns?
[02:25:53.760 --> 02:25:55.280]   um
[02:25:55.280 --> 02:25:57.360]   Also a swift person
[02:25:57.360 --> 02:26:01.280]   Uh and purchased the record and my daughter we play
[02:26:01.280 --> 02:26:02.800]   Uh
[02:26:02.800 --> 02:26:09.440]   Taylor swift vinyl for her your one year old is a tatay fan. I love that. That's awesome
[02:26:09.440 --> 02:26:14.800]   But I'm curious. How did she do? Does she own the publishing? Yeah, she didn't own the masters
[02:26:15.040 --> 02:26:18.240]   Right. Yeah, because she wrote the songs was able to rerecord them
[02:26:18.240 --> 02:26:21.120]   There are I think there's something that says that they have there has to be a
[02:26:21.120 --> 02:26:26.800]   You have to be able to distinguish them. So there might be one word that she sings slightly differently in the song
[02:26:26.800 --> 02:26:31.920]   Oh, there's something you can definitely hear the bass or like you can hear the instrumentation is different
[02:26:31.920 --> 02:26:34.720]   Exactly. It's a bit more subtle. Yeah, yeah
[02:26:34.720 --> 02:26:36.560]   That's the case. Usually it is better
[02:26:36.560 --> 02:26:42.800]   I will say this is probably the album that she's done the best job kind of the production is is the best and and the
[02:26:42.880 --> 02:26:47.120]   The audio engineering has been the best because I think for red which you were at least a while ago
[02:26:47.120 --> 02:26:49.200]   There were some that I was like this doesn't feel finished
[02:26:49.200 --> 02:26:52.160]   But I think this one is is definitely the cleanest example
[02:26:52.160 --> 02:27:00.800]   Well now now Dan and daniel know what it felt like early in the show when they were talking about gaming and
[02:27:00.800 --> 02:27:04.480]   You have leveled the playing field. Thank you all for sitting through that
[02:27:04.480 --> 02:27:08.640]   You found my topic leo
[02:27:09.840 --> 02:27:12.720]   I had a feeling I might I might be able to find that somehow
[02:27:12.720 --> 02:27:18.160]   Abra, thank you so much for joining us today. It's really great to have you Abra. All heaty. You'll see you're on
[02:27:18.160 --> 02:27:20.560]   cnets youtube channel
[02:27:20.560 --> 02:27:25.600]   Covering all kinds of stuff including social tiktok and accessibility
[02:27:25.600 --> 02:27:30.240]   Uh, really appreciate you taking the time to be with us today. It's great to have thank you for having me
[02:27:30.240 --> 02:27:32.240]   It's always a pleasure. Thank you Abra
[02:27:32.240 --> 02:27:34.720]   Dan Patterson
[02:27:34.720 --> 02:27:37.520]   back to in the living amongst the living
