;FFMETADATA1
title=Bring in the Privacy Pod
artist=Leo Laporte, Brianna Wu, Nate Lanxon, Tim Stevens
album_artist=TWiT
publisher=TWiT
album=This Week in Tech
TRDA=2021-05-03
track=821
language=English
genre=Podcast
comment=Big quarter for big tech, AirTags and privacy, Resident Evil 3 speedrun		
encoded_by=Uniblab 5.2
date=2021
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:02.000]   It's time for Twit!
[02:15:02.420 --> 02:15:03.620]   So seen at his own by Red Ventures now, right?
[02:15:03.620 --> 02:15:05.300]   We run by Red Ventures, right?
[02:15:05.300 --> 02:15:07.500]   Yeah, I think they're going to be good for you.
[02:15:07.500 --> 02:15:08.500]   Honestly.
[02:15:08.500 --> 02:15:09.500]   They have been so far.
[02:15:09.500 --> 02:15:10.500]   Yeah, absolutely.
[02:15:10.500 --> 02:15:11.500]   Looking good.
[02:15:11.500 --> 02:15:14.100]   Tumbler, remember, bought Yahoo.
[02:15:14.100 --> 02:15:19.780]   A rather Verizon bought Tumbler as part of Yahoo for 1.1 billion.
[02:15:19.780 --> 02:15:26.780]   Sold over WordPress for a penny and a half, I think it was well below 20 million.
[02:15:26.780 --> 02:15:30.780]   The Huffington Post, Verizon sold that to BuzzFeed.
[02:15:30.780 --> 02:15:36.900]   I mean, it's just been it's a fire sale and could be fair.
[02:15:36.900 --> 02:15:40.740]   You know, the purchase of a what came with a lot of ad sale technology.
[02:15:40.740 --> 02:15:44.060]   And I'm sure I don't know what you think that you think whether that's just changing
[02:15:44.060 --> 02:15:45.060]   hands.
[02:15:45.060 --> 02:15:48.100]   So, you know, it may not be a one to one on what they bought versus what they're selling.
[02:15:48.100 --> 02:15:49.900]   So it's really easy to look at these things.
[02:15:49.900 --> 02:15:51.820]   Look at, oh, you know, they wrote this thing in the ground.
[02:15:51.820 --> 02:15:55.340]   Now they're selling it for pennies, but there may be some technology that that is being
[02:15:55.340 --> 02:15:59.220]   held and therefore, you know, the value is still within the company.
[02:15:59.220 --> 02:16:01.820]   But I don't know the details of this and I guess nobody knows.
[02:16:01.820 --> 02:16:03.020]   I saw it in the transaction.
[02:16:03.020 --> 02:16:05.820]   And the Wall Street Journal article did say parts of.
[02:16:05.820 --> 02:16:10.500]   So that kind of confirms that it made some of the good stuff they may keep.
[02:16:10.500 --> 02:16:15.020]   On the other hand, the New York Police Department is not keeping their robot dog.
[02:16:15.020 --> 02:16:17.020]   Oh, God.
[02:16:17.020 --> 02:16:22.220]   They're returning it after critics seized on it as a dystopian example of overly aggressive
[02:16:22.220 --> 02:16:23.220]   policing.
[02:16:23.220 --> 02:16:24.220]   Yeah.
[02:16:24.220 --> 02:16:25.220]   Thank.
[02:16:25.220 --> 02:16:27.740]   I think this is another example of foremarketing.
[02:16:27.740 --> 02:16:30.420]   Like we were talking about Google Glass before how Google just threw it out there and ignored
[02:16:30.420 --> 02:16:31.420]   all the privacy concerns.
[02:16:31.420 --> 02:16:36.180]   If the NYPD had launched a series of commercials showing how the robot dog can go into a burning
[02:16:36.180 --> 02:16:40.580]   building and save, you know, keep people from having to go into dangerous situations, I
[02:16:40.580 --> 02:16:42.460]   think the reaction probably would have been pretty significant.
[02:16:42.460 --> 02:16:45.900]   Instead, there was that one picture of this dog or one video of the dog walking out of
[02:16:45.900 --> 02:16:49.020]   the department that nobody expected and everyone was freaking out because of it.
[02:16:49.020 --> 02:16:50.020]   Roughly so big.
[02:16:50.020 --> 02:16:53.260]   Suddenly just showed up on the sidewalk and nobody knew where it came from.
[02:16:53.260 --> 02:16:54.260]   Look at the subtext.
[02:16:54.260 --> 02:16:55.260]   It would have been a little bit of marketing.
[02:16:55.260 --> 02:16:56.260]   It would have been a result.
[02:16:56.260 --> 02:17:00.820]   Doing it in a housing project, you know, maybe not the best.
[02:17:00.820 --> 02:17:03.740]   During like the Black Lives Matter protests, right?
[02:17:03.740 --> 02:17:10.540]   So if your response to something like that is, hi, let's bring out our surveillance technology
[02:17:10.540 --> 02:17:13.580]   that looks like a moto terminator.
[02:17:13.580 --> 02:17:19.220]   You know, that's just not, I feel, I'm not a PR professional.
[02:17:19.220 --> 02:17:21.540]   Maybe, maybe there are other things you could do.
[02:17:21.540 --> 02:17:23.620]   Yeah, totally agree.
[02:17:23.620 --> 02:17:25.580]   Yeah.
[02:17:25.580 --> 02:17:28.620]   This is something I hadn't really, you know, there's so many things to worry about in the
[02:17:28.620 --> 02:17:29.620]   future.
[02:17:29.620 --> 02:17:32.180]   This is not one I had thought we would be worrying about.
[02:17:32.180 --> 02:17:38.620]   Geographers are warning deep fake satellite imagery poses a not so distant threat.
[02:17:38.620 --> 02:17:41.940]   This is according to James Vincent in the Verge.
[02:17:41.940 --> 02:17:46.060]   Geographic deep fakes.
[02:17:46.060 --> 02:17:50.740]   Nothing to say about that.
[02:17:50.740 --> 02:17:52.820]   I just thought I'd warn you.
[02:17:52.820 --> 02:17:54.380]   Is that where you put Tom's cruise house?
[02:17:54.380 --> 02:17:55.380]   Tom Cruise's house on top?
[02:17:55.380 --> 02:17:56.380]   Yeah, that's exactly.
[02:17:56.380 --> 02:17:58.380]   I'm going to do things.
[02:17:58.380 --> 02:18:00.580]   I don't see the problem with that.
[02:18:00.580 --> 02:18:06.900]   I'm going to do a deep fake, like a disco floor in your backyard layout.
[02:18:06.900 --> 02:18:08.500]   It's going to be out there forever.
[02:18:08.500 --> 02:18:09.500]   Nobody will believe it.
[02:18:09.500 --> 02:18:10.780]   Nobody will believe it.
[02:18:10.780 --> 02:18:15.820]   Actually, I wouldn't mind a disco floor in my backyard as long as it had good ramps,
[02:18:15.820 --> 02:18:17.140]   truck ramps on it.
[02:18:17.140 --> 02:18:18.140]   So I don't know.
[02:18:18.140 --> 02:18:20.380]   I'm going to get those exposed wheels.
[02:18:20.380 --> 02:18:22.540]   Yeah, I'm going to get those.
[02:18:22.540 --> 02:18:24.220]   Ladies and gentlemen, you guys are wonderful.
[02:18:24.220 --> 02:18:27.260]   I thank you so much for being here.
[02:18:27.260 --> 02:18:34.940]   Oh, I didn't give Nate a chance to plug, but I didn't give Nate Langson a chance.
[02:18:34.940 --> 02:18:38.980]   Tell us about Bloomberg and especially about this new thing that you're doing.
[02:18:38.980 --> 02:18:40.580]   I think it's very...
[02:18:40.580 --> 02:18:41.580]   It's not that new.
[02:18:41.580 --> 02:18:43.580]   You've talked about it before, the Quick Take.
[02:18:43.580 --> 02:18:44.580]   Yeah, yeah.
[02:18:44.580 --> 02:18:52.620]   I mean, I'm an editor at Bloomberg, so I cover a lot of the European tech scene.
[02:18:52.620 --> 02:19:01.180]   But I do a lot of video now for Quick Take, which is sort of our slightly more youth...
[02:19:01.180 --> 02:19:09.140]   I don't say youth-focused version of Bloomberg, but it's like if the rest of Bloomberg is markets
[02:19:09.140 --> 02:19:15.740]   and stocks, then Quick Take is for current events and is much broader in scope.
[02:19:15.740 --> 02:19:21.260]   And I do a lot of consumer tech stuff for that.
[02:19:21.260 --> 02:19:26.780]   I've done things like salmon farms up off the coast of the Orkney Islands in Scotland,
[02:19:26.780 --> 02:19:32.660]   getting equipped with 5G to monitor the health of...
[02:19:32.660 --> 02:19:33.660]   Sheep.
[02:19:33.660 --> 02:19:34.660]   Oh, salmon.
[02:19:34.660 --> 02:19:35.660]   Okay.
[02:19:35.660 --> 02:19:36.660]   Salmon.
[02:19:36.660 --> 02:19:39.940]   Yeah, so sailed out into the North Sea for that one.
[02:19:39.940 --> 02:19:40.940]   Wow.
[02:19:40.940 --> 02:19:42.220]   Lots of other stuff.
[02:19:42.220 --> 02:19:47.300]   So it's a big part of what I do, and then on the side of that I do my podcast.
[02:19:47.300 --> 02:19:50.380]   Text message, which is great.
[02:19:50.380 --> 02:19:53.940]   Webby award, shortlisted technology podcast.
[02:19:53.940 --> 02:19:54.940]   And you know what?
[02:19:54.940 --> 02:19:56.300]   We lost to you, Leo, that year.
[02:19:56.300 --> 02:19:57.300]   I know.
[02:19:57.300 --> 02:19:58.300]   We lost.
[02:19:58.300 --> 02:19:59.300]   We were down to...
[02:19:59.300 --> 02:20:02.660]   You think I don't know that, Nate?
[02:20:02.660 --> 02:20:03.660]   I know.
[02:20:03.660 --> 02:20:07.340]   You think I don't run around with that trophy every day?
[02:20:07.340 --> 02:20:08.660]   He said, "Beam, beat 'em!"
[02:20:08.660 --> 02:20:09.660]   No, I don't.
[02:20:09.660 --> 02:20:11.860]   Hey, they still sent me a frame certificate.
[02:20:11.860 --> 02:20:13.940]   I've got it up there in the corner of the sea.
[02:20:13.940 --> 02:20:17.420]   Look, all you missed out was a metal spring.
[02:20:17.420 --> 02:20:18.420]   That's what the movie...
[02:20:18.420 --> 02:20:19.420]   That's what the trip came to.
[02:20:19.420 --> 02:20:20.980]   Is that what it was?
[02:20:20.980 --> 02:20:26.460]   And I think that we lost in the vote, but the people's choice brought us back or something.
[02:20:26.460 --> 02:20:29.860]   I can't remember exactly how that happened, but it's a great podcast.
[02:20:29.860 --> 02:20:32.260]   How long have you been doing it?
[02:20:32.260 --> 02:20:33.260]   About six years.
[02:20:33.260 --> 02:20:36.380]   I started it when I left Wired, because I ran the Wired podcast.
[02:20:36.380 --> 02:20:37.380]   I started that at Wired.
[02:20:37.380 --> 02:20:38.620]   Did a couple of hundred episodes.
[02:20:38.620 --> 02:20:43.460]   And when I moved to Bloomberg, I thought I was going to do so much more on the core business
[02:20:43.460 --> 02:20:48.900]   and finance that I would do less on the consumer and irreverence that I like.
[02:20:48.900 --> 02:20:54.900]   I like entertaining people with tech news, as well as being informed about it.
[02:20:54.900 --> 02:20:58.340]   So I started it when I joined, and I've just kept doing it ever since.
[02:20:58.340 --> 02:21:01.580]   We've done 230-suming episodes.
[02:21:01.580 --> 02:21:05.380]   And we copied you, because you're doing with extra message pretty much the same thing.
[02:21:05.380 --> 02:21:08.620]   The ad-free version, the Discord, and all that.
[02:21:08.620 --> 02:21:10.660]   Are using Patreon or memberful?
[02:21:10.660 --> 02:21:12.100]   What are you using?
[02:21:12.100 --> 02:21:16.940]   We use Patreon, and we've been doing that now for about four years.
[02:21:16.940 --> 02:21:21.260]   I took a lot of inspiration from, basically Tom Merritt, a daily technician.
[02:21:21.260 --> 02:21:22.740]   Dtns does that.
[02:21:22.740 --> 02:21:23.740]   Yep.
[02:21:23.740 --> 02:21:24.740]   Yeah.
[02:21:24.740 --> 02:21:26.740]   Ex of your parish, of course.
[02:21:26.740 --> 02:21:32.060]   He was very helpful and gave me a lot of good pointers when we started up.
[02:21:32.060 --> 02:21:34.820]   But yeah, that's sort of gone to have his life of its own now.
[02:21:34.820 --> 02:21:35.820]   So that's...
[02:21:35.820 --> 02:21:36.820]   Yeah.
[02:21:36.820 --> 02:21:41.700]   Yeah, we're really having a lot of fun with the club Twitter.
[02:21:41.700 --> 02:21:45.780]   What's great is building a community is so much fun, and we have a great community,
[02:21:45.780 --> 02:21:48.060]   but we just haven't had good ways to kind of interact with them.
[02:21:48.060 --> 02:21:51.740]   So it's really, really nice to do that.
[02:21:51.740 --> 02:21:53.220]   Thank you so much for being here, Nate.
[02:21:53.220 --> 02:21:56.300]   I know it's late, like the middle of the night.
[02:21:56.300 --> 02:21:58.020]   Thank you for staying up with us.
[02:21:58.020 --> 02:22:00.740]   It's 1am, but it's my pleasure.
[02:22:00.740 --> 02:22:02.140]   We really love having you on.
[02:22:02.140 --> 02:22:03.300]   You're great.
[02:22:03.300 --> 02:22:05.820]   And for you, Tim Stevens, it's been too long.
[02:22:05.820 --> 02:22:08.740]   We'll get you back real soon, editor-in-chief at Roadshow.
[02:22:08.740 --> 02:22:09.740]   Thanks, Leo.
[02:22:09.740 --> 02:22:10.740]   Asina.
[02:22:10.740 --> 02:22:16.300]   And of course, it's the wonderful Brianna Wu, rebellionpack.com, if you want to find
[02:22:16.300 --> 02:22:17.620]   out what she's up to.
[02:22:17.620 --> 02:22:19.660]   And there, will you make an announcement sometime?
[02:22:19.660 --> 02:22:20.660]   It's a rocket.
[02:22:20.660 --> 02:22:21.660]   And rocket.
[02:22:21.660 --> 02:22:22.660]   Don't forget, Relay and Pham.
[02:22:22.660 --> 02:22:26.100]   Relay no awards, no heavy awards, the perfect nomination.
[02:22:26.100 --> 02:22:31.940]   It is the Relay's best-worst show, but we like it.
[02:22:31.940 --> 02:22:32.940]   Oh.
[02:22:32.940 --> 02:22:39.460]   Easily, well, I don't want to say because I have lots of friends on Relay.fm, but I really
[02:22:39.460 --> 02:22:43.260]   love Simonda Rush 4, Christina Warren and Brianna Wu.
[02:22:43.260 --> 02:22:46.220]   That is a panel to die for.
[02:22:46.220 --> 02:22:47.740]   It's just great.
[02:22:47.740 --> 02:22:48.940]   They also have a membership.
[02:22:48.940 --> 02:22:53.300]   So find out more, Relay.fm/rocket.
[02:22:53.300 --> 02:22:54.300]   Rocket.
[02:22:54.300 --> 02:22:58.700]   Last latest episode, Triple Scam Town.
[02:22:58.700 --> 02:23:00.500]   Oh, that was good.
[02:23:00.500 --> 02:23:01.980]   We love covering scams.
[02:23:01.980 --> 02:23:03.420]   That's our beat.
[02:23:03.420 --> 02:23:06.180]   Like when people, there was three scams that week.
[02:23:06.180 --> 02:23:08.020]   So it was like a three alarm fire.
[02:23:08.020 --> 02:23:12.780]   You talked also about the ice cream, the McDonald's ice cream machine story.
[02:23:12.780 --> 02:23:14.780]   That is a fascinating story.
[02:23:14.780 --> 02:23:15.860]   That's a scam.
[02:23:15.860 --> 02:23:17.380]   That is a scam, in my opinion.
[02:23:17.380 --> 02:23:18.380]   Yeah.
[02:23:18.380 --> 02:23:19.380]   What is it?
[02:23:19.380 --> 02:23:20.380]   Taylor that makes those machines.
[02:23:20.380 --> 02:23:21.380]   Taylor, yep.
[02:23:21.380 --> 02:23:22.380]   Yep.
[02:23:22.380 --> 02:23:26.420]   And the things are so hideously complex that they're almost always broken.
[02:23:26.420 --> 02:23:32.060]   Much so that somebody wrote a bot to try to order a MacFlurry at every McDonald's in
[02:23:32.060 --> 02:23:33.060]   the country.
[02:23:33.060 --> 02:23:37.660]   And then it's an updated live update map of which MacFlurry machines are down.
[02:23:37.660 --> 02:23:44.620]   But then another couple created a Raspberry Pi device that would make these things much
[02:23:44.620 --> 02:23:45.620]   more reliable.
[02:23:45.620 --> 02:23:49.940]   They were trying to do a frozen yogurt bot.
[02:23:49.940 --> 02:23:53.500]   And Taylor completely came down.
[02:23:53.500 --> 02:23:55.420]   They hired a PI.
[02:23:55.420 --> 02:23:57.500]   I mean, it's a fascinating story.
[02:23:57.500 --> 02:23:58.900]   So that's a good episode to listen to.
[02:23:58.900 --> 02:24:04.260]   The reason they qualified for Scamtown is the fact that they deliberately make the
[02:24:04.260 --> 02:24:11.140]   UI so unreadable by the people that work at McDonald's that they end up having to fall
