;FFMETADATA1
title=Do You Even Rocket, Bro?
artist=Leo Laporte, Christina Warren, Larry Magid, Devindra Hardawar
album_artist=TWiT
publisher=TWiT
album=This Week in Tech
TRDA=2021-07-12
track=831
language=English
genre=Podcast
comment=Branson in Space, Amazon, Kaseya Hack
encoded_by=Uniblab 5.3
date=2021
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.740]   It's time for Twit this week in Tech. What a show we've got for you. Christina Warren is back
[02:14:40.980 --> 02:14:48.020]   Of course you can you can change your location and your phone and go there and you'll see there's all these gyms occupied
[02:14:48.020 --> 02:14:52.020]   By pokémon with zero hit points because they've been there a long time
[02:14:52.020 --> 02:14:56.260]   They're kind of for lornin but draggle but because no one's trying to take the gyms back
[02:14:56.260 --> 02:15:03.700]   We still we may not hold bagram air force base, but we hold the gym at bagram air force base pokémon go
[02:15:04.420 --> 02:15:10.020]   Still lives there. I remember playing it when it came out and I didn't even realize it was still around
[02:15:10.020 --> 02:15:12.820]   I mean, it's huge fun for a bigger now than ever
[02:15:12.820 --> 02:15:15.940]   I create bigger now than ever. You see the crowds of people
[02:15:15.940 --> 02:15:20.260]   They're like and sometimes it's sort of like watching like zombies from the walking dead or something
[02:15:20.260 --> 02:15:23.620]   Just like a crowd of people just staring down and then they all move together
[02:15:23.620 --> 02:15:26.580]   And you know they're playing because they're they're their fingers are going around
[02:15:26.580 --> 02:15:29.140]   I thought they were showing up to see me though
[02:15:29.140 --> 02:15:34.260]   Sorry, we were in san diego when pokémon go came out in 2016
[02:15:34.420 --> 02:15:39.700]   Wow, yeah, and there were all it was I thought oh there's a concert going on because there's all these people in the median
[02:15:39.700 --> 02:15:42.740]   of the strip there and
[02:15:42.740 --> 02:15:47.700]   They're all it's jammed shoulder to shoulder and I said is there somebody playing and I couldn't I didn't see it
[02:15:47.700 --> 02:15:51.300]   They were all playing pokémon go and there was a big battle going on
[02:15:51.300 --> 02:15:54.260]   It was amazing and it was fun to be a part of at the time
[02:15:54.260 --> 02:15:58.580]   And it was good that they relaxed those location requirements during covid
[02:15:59.300 --> 02:16:04.820]   The interesting thing is they're talking about bringing them back and I'm saying you guys are making more money than ever
[02:16:04.820 --> 02:16:07.380]   Maybe you should just leave that
[02:16:07.380 --> 02:16:09.700]   Yeah, why why mess with a good thing?
[02:16:09.700 --> 02:16:13.220]   It's uh, it must be hard to balance. That's the thing
[02:16:13.220 --> 02:16:18.420]   I was gonna say there's the balance to it. I'm sure because like, you know
[02:16:18.420 --> 02:16:21.300]   They have their in-person events that have been widely successful
[02:16:21.300 --> 02:16:25.140]   Successful, but there's a lot of accessibility arguments for it
[02:16:25.140 --> 02:16:31.780]   Like that's I've seen a lot of people writing about that like it it's really hard to go out to physical play sometimes and get to a specific thing
[02:16:31.780 --> 02:16:35.540]   Or you can't move as quickly to follow some some pokémon that's out there
[02:16:35.540 --> 02:16:38.420]   Um, wanna point out that they did show us a glimpse
[02:16:38.420 --> 02:16:43.860]   It released like an anime glimpse of where it would be like on halo lens too. That's right. That was kind of fun
[02:16:43.860 --> 02:16:49.460]   And they never never really never happened. Yeah, I mean
[02:16:49.460 --> 02:16:51.220]   It's it was just like a pre-rendered demo
[02:16:51.220 --> 02:16:56.740]   But I think it's the idea of what they could do with that eventually like once if we had if we all had air our glasses
[02:16:56.740 --> 02:17:00.260]   Like you you bet we would still be playing. Oh god the zombies
[02:17:00.260 --> 02:17:03.540]   Yeah, everybody be wandering around
[02:17:03.540 --> 02:17:07.140]   Walking into traffic
[02:17:07.140 --> 02:17:10.260]   Yeah, come on. I can't I it's gonna be a nightmare
[02:17:10.260 --> 02:17:14.900]   I mean if we had air glasses people might not have stayed indoors with with covid
[02:17:14.900 --> 02:17:19.220]   I'm not joking like you might have had like who would have been unwilling to stay indoors
[02:17:19.220 --> 02:17:23.860]   Be like oh, I can would walk around and everything's empty. It's great. It's like dude stay inside
[02:17:23.860 --> 02:17:29.460]   We as you know, 4th of july was last sine for we very rarely miss a twit
[02:17:29.460 --> 02:17:36.020]   We did a twit on saturday. So I unfortunately couldn't play this for you then but I'm gonna play it for you now mark succerberg
[02:17:36.020 --> 02:17:41.380]   On a wakeboard wave in the american flag wishing you all
[02:17:41.380 --> 02:17:43.780]   The Delaware river. Oh, yeah, right ready
[02:17:43.780 --> 02:17:47.540]   No, don't play the audio because then we'll get a take down from john denver
[02:17:47.860 --> 02:17:54.420]   Uh wishing you all a very happy independence day. You guys are great. This was the best twit ever
[02:17:54.420 --> 02:17:56.980]   Well, at least the weirdest. Thank you film girl
[02:17:56.980 --> 02:18:04.500]   It's so it's always a pleasure to having you on christina warren senior cloud advocate at microsoft at film girl. You can do anything for inspire
[02:18:04.500 --> 02:18:10.740]   I am not involved in an sire, but I've there will be cool stuff coming. I know there will be cool stuff
[02:18:10.740 --> 02:18:13.220]   You excited about windows 11?
[02:18:13.220 --> 02:18:15.460]   I'm very excited about windows 11 actually
[02:18:15.700 --> 02:18:20.740]   I'm running it right now on the machine that i'm doing this from so what you're old you're brave
[02:18:20.740 --> 02:18:24.980]   You've got a better machine. It's very stable. Yeah, right?
[02:18:24.980 --> 02:18:27.700]   Well, can you help my friend larry here?
[02:18:27.700 --> 02:18:32.260]   I have a three-year-old pc that won't run it. Oh because you have a 7th generation
[02:18:32.260 --> 02:18:34.660]   I have a 7th generation. Yeah, I know
[02:18:34.660 --> 02:18:37.300]   It'll run the the public release
[02:18:37.300 --> 02:18:42.660]   My theory on all this and you can you don't have to you just pull your ear from right christina is
[02:18:43.460 --> 02:18:49.540]   The problem when when a new version of windows comes out is there's going to be a whole bunch of people say oh
[02:18:49.540 --> 02:18:55.540]   Especially when you have cosmetic changes. I don't want that don't make me change people did that with windows 10. Yeah, don't make me change
[02:18:55.540 --> 02:18:59.860]   Well, it was really windows 8 but yeah windows 8 don't make me change. I don't like that
[02:18:59.860 --> 02:19:06.420]   So microsoft thought now what if we made it so you couldn't have it? Oh people then what and they did and people
[02:19:06.420 --> 02:19:09.300]   Windows 11. I want it. Yeah
[02:19:10.020 --> 02:19:14.100]   Right, I don't think that's how you're here. Come on. Come on. I know no, okay
[02:19:14.100 --> 02:19:18.900]   I mean it makes sense. If bonewind used hysteria, no, I don't think that's the reason
[02:19:18.900 --> 02:19:22.740]   I would say like I think they're looking into it. They've said they're gonna look for the feedback
[02:19:22.740 --> 02:19:25.220]   There are some different driver requirements
[02:19:25.220 --> 02:19:28.580]   that that they want for security standpoint and
[02:19:28.580 --> 02:19:35.220]   So maybe that I think yeah without with the vendors it might have to do with no time inspector because the mitigation
[02:19:35.300 --> 02:19:40.500]   Absolutely, all right generation and later it might have to do you know the tp you requirement
[02:19:40.500 --> 02:19:45.700]   I think you could safely say is about security well the other cynical argument is microsoft doesn't make any money
[02:19:45.700 --> 02:19:49.620]   If I upgrade my three-year-old machine, but they do make some money if I buy a new windows machine
[02:19:49.620 --> 02:19:54.180]   I think that's also I'm not saying I'm not saying that that's right the issue
[02:19:54.180 --> 02:19:58.340]   But it is in fact the case well don't be such a cheapskate buy a new machine
[02:19:58.340 --> 02:20:02.180]   Help it's gonna happen. Yeah, it's gonna happen. I'm gonna have to have it
[02:20:03.460 --> 02:20:08.340]   Great to have you Larry can yeah plug connect safely.org. Well come to connect safely.org
[02:20:08.340 --> 02:20:13.540]   We have materials on almost all of these social media companies Microsoft is one of our supporters
[02:20:13.540 --> 02:20:19.060]   We are about to launch the seniors guide to tiktok because it turns out Leo
[02:20:19.060 --> 02:20:22.260]   Holds for the tiktok guy the rage tiktok to
[02:20:22.260 --> 02:20:25.140]   Bobby we're is tiktocking. I just said
[02:20:25.140 --> 02:20:28.260]   Don't we also have things for tots as well. So
[02:20:29.220 --> 02:20:34.660]   Advice for parents of two and a half year olds tiktok for tots and eat it not tiktok for tots
[02:20:34.660 --> 02:20:41.060]   Okay, we have a cots with tat we call it. That's a good name. That definitely loves tiktok. Yeah, really not supposed to be on tiktok
[02:20:41.060 --> 02:20:44.660]   Well, but he no well, she just watches the animals not okay
[02:20:44.660 --> 02:20:48.900]   And does she as she figured it out you can swipe up. Oh, yes most definitely. Oh wow
[02:20:48.900 --> 02:20:53.940]   She she swipes through I can't even swipe anymore. You're training her. Well your grandfather might like it too
[02:20:53.940 --> 02:20:59.140]   So we're trying to we're trying to serve all generations. Is she fast like does she watch two seconds ago?
[02:20:59.140 --> 02:21:00.260]   No, I don't like that
[02:21:00.260 --> 02:21:01.540]   Yeah, yeah, that's absolutely
[02:21:01.540 --> 02:21:04.980]   And then if we find something and she wants to watch it like 10 times if I swipe away
[02:21:04.980 --> 02:21:10.020]   She will swipe right back up to that video. Oh my god. She's learned. It's amazing
[02:21:10.020 --> 02:21:12.580]   two-year-old
[02:21:12.580 --> 02:21:15.380]   Connect safely.org if you want to keep your hold or your
[02:21:15.380 --> 02:21:18.900]   Unsafe one on the internet
[02:21:19.780 --> 02:21:25.220]   And divindor hardwars senior editor at engadget of course don't forget the slash film podcast he does
[02:21:25.220 --> 02:21:28.660]   Where you talk about slash film cast slash film cast
[02:21:28.660 --> 02:21:35.140]   Um, what's what's the latest slash film cast? It's the latest it's gonna be black widow. I had a lot of fun with that
[02:21:35.140 --> 02:21:41.940]   Um, we we reviewed the new soda berk thing. No sudden move last week. That was okay
[02:21:41.940 --> 02:21:46.580]   I wish I had more fun with it, but uh for our patreon subscribers. We reviewed the liby
[02:21:46.580 --> 02:21:48.580]   Which is a movie I love great
[02:21:49.060 --> 02:21:50.580]   Right
[02:21:50.580 --> 02:21:52.580]   He is he is one of the
[02:21:52.580 --> 02:21:55.460]   There's a whole category of British
[02:21:55.460 --> 02:22:01.780]   Cockney actors like Jason statham and what's who's the guy in limey terence stamp
[02:22:01.780 --> 02:22:08.340]   God when they show up I go. Yeah. Yeah, it's gonna be a good movie. Yeah, right love terence stamp
[02:22:08.340 --> 02:22:14.900]   Uh good slash film cast just search for that in your favorite podcast player
