
[00:00:00.000 --> 00:00:04.580]   It's time for Twit this week in tech. What a great panel this week Christina Warren's here
[02:33:46.480 --> 02:33:53.120]   And that's where the companies play an incredibly important role twit
[02:33:53.120 --> 02:33:55.760]   some assembly required
[02:33:56.560 --> 02:34:02.880]   Wonderful week and we thank all of our uh our hosts and our contributors had a lot of fun
[02:34:02.880 --> 02:34:09.360]   I will end with this product. I want somebody to use this on the next twit the dyson headphones
[02:34:09.360 --> 02:34:12.400]   That double as an air purifier
[02:34:12.400 --> 02:34:16.640]   If you really want to scare people as you're walking around
[02:34:16.640 --> 02:34:22.400]   Get the dyson zone air purifying headphones with active noise cancellation
[02:34:22.400 --> 02:34:25.200]   get over here
[02:34:25.200 --> 02:34:28.480]   Yes, exactly. I was going I was going like a sith lord or something
[02:34:28.480 --> 02:34:31.040]   That's also pretty solid
[02:34:31.040 --> 02:34:37.840]   I like that get over here. I like that. That's cray cray. That is wild. Here's all the prototypes that they've been
[02:34:37.840 --> 02:34:42.160]   Working on it's interesting that the one they came up with by the way
[02:34:42.160 --> 02:34:50.240]   I wish they had released this because I would have worn it's got a tube and all sorts of very retro very very retro
[02:34:50.800 --> 02:34:57.040]   They they sort of cleared it up. They actually were they tested this in beijing where the air quality is so abysmal
[02:34:57.040 --> 02:34:58.640]   You do need these
[02:34:58.640 --> 02:35:01.840]   So maybe I shouldn't mock this because there are places where
[02:35:01.840 --> 02:35:04.800]   You know, it's like smoking the pack a day
[02:35:04.800 --> 02:35:09.840]   Because it looks ridiculous
[02:35:09.840 --> 02:35:13.840]   You know
[02:35:13.840 --> 02:35:18.080]   I I will never knock innovation. Uh, I probably won't buy any of them, uh, but
[02:35:19.200 --> 02:35:20.960]   Dyson zone
[02:35:20.960 --> 02:35:23.360]   You I mean, I mean, I wouldn't I wouldn't mock it
[02:35:23.360 --> 02:35:25.200]   But I also realized I just did the math
[02:35:25.200 --> 02:35:29.120]   I've spent like a thousand dollars on the the air wrap and on the hairdryer
[02:35:29.120 --> 02:35:29.760]   There you go
[02:35:29.760 --> 02:35:35.360]   Actually, actually no, I've spent more than that because I got my sister the air wrap as well. So I I can't even like
[02:35:35.360 --> 02:35:38.640]   I want to mock this but I also
[02:35:38.640 --> 02:35:46.720]   Know what I've spent money on actually Lisa loves her hairdryer. I haven't seen the best I should get the air wrap. That's interesting
[02:35:47.440 --> 02:35:53.680]   Yeah, it's great. You like it. They're both great. Yeah, I got the air wrap first and um because it also includes like kind of a smaller version of the hairdryer
[02:35:53.680 --> 02:35:59.040]   And I liked it so much that when they had like a sale I got the um the hairdryer as well
[02:35:59.040 --> 02:36:02.240]   And uh it's so much faster and like if you have long hair
[02:36:02.240 --> 02:36:06.720]   They have different attachments and stuff. It's it's really good and it makes it so smooth
[02:36:06.720 --> 02:36:12.240]   I have to say like I never thought that I would spend that much money on um hairdryer stuff
[02:36:13.360 --> 02:36:16.400]   A plus plus I would recommend anything for me. Could I could
[02:36:16.400 --> 02:36:20.720]   No, no, no for you. No, if your wife though, it might be
[02:36:20.720 --> 02:36:23.280]   It's a perfect wife wife gift
[02:36:23.280 --> 02:36:27.680]   Oh 100% wife girlfriend like or anybody who's like longer hair like
[02:36:27.680 --> 02:36:32.960]   There's no blades. It's just it's one of those tunnels that just blows air somehow hot air
[02:36:32.960 --> 02:36:40.000]   But yeah, so she has this she apparently really likes it. So yeah, maybe I'll get her the the wrapper. That's good
[02:36:41.200 --> 02:36:43.200]   Always thinking Christina
[02:36:43.200 --> 02:36:46.480]   Still in the shoe market. What are you what are you buying these days?
[02:36:46.480 --> 02:36:49.360]   Yeah, still in the shoe market. I haven't bought anything
[02:36:49.360 --> 02:36:54.400]   Recently, um, I think the that it's been kind of a quiet
[02:36:54.400 --> 02:36:59.600]   Shoe food for me the last couple of months. You no longer have to help people get PlayStation 5's or Xbox series x's
[02:36:59.600 --> 02:37:04.880]   I know you know a lot of that. Yeah, no no now finally and in graphics for prices are going down too
[02:37:04.880 --> 02:37:08.880]   So finally I'm like, oh, how do you remember my mom to do this? I know right? Yeah, it's only been
[02:37:09.440 --> 02:37:14.320]   However long. Yeah. Oh, I always like to keep up though on your shoe purchases. I guess I'll have to just rock it
[02:37:14.320 --> 02:37:18.880]   Relay.fm for rocket and look for are you gonna do videos for you?
[02:37:18.880 --> 02:37:21.920]   Yeah, yeah, so um, I don't have any up yet
[02:37:21.920 --> 02:37:25.520]   But if you want to go ahead and go to youtube.com/github there will be videos
[02:37:25.520 --> 02:37:29.920]   Coming very soon and um, we're gonna be doing a lot of content. So it's gonna be great
[02:37:29.920 --> 02:37:35.760]   Is there any move to get you to do an introduction to get just the technology the commands on it?
[02:37:36.720 --> 02:37:40.320]   I think that I'm not sure. I think that would be really good though. I think that's a really good idea
[02:37:40.320 --> 02:37:44.400]   I'll bring that up give you up as an app that's supposed to you know, make it easy
[02:37:44.400 --> 02:37:48.960]   But I think ultimately it's good to understand the command lines and how I use it on a command line
[02:37:48.960 --> 02:37:55.200]   Yeah, no, I do too and and and I mean I it's funny because actually before I even joined like I've been thinking about
[02:37:55.200 --> 02:37:57.680]   um creating some sort of course about like
[02:37:57.680 --> 02:38:03.120]   Using you know get and inversion control in general for like for for non-technical roles
[02:38:03.120 --> 02:38:07.680]   That'd be nice. Yeah markdown because there are a lot of people who I think could really benefit from it
[02:38:07.680 --> 02:38:13.760]   But who are doing things and especially like like like a like technical product managers and people like that who
[02:38:13.760 --> 02:38:18.640]   Might be working with engineers, but aren't you necessarily doing the coding themselves?
[02:38:18.640 --> 02:38:25.520]   There can still be a ton of benefits of of using version control stuff. So um, I'm hoping to do something around that
[02:38:25.520 --> 02:38:30.080]   I do like that idea of using get for non-programmers other ways like novelists or
[02:38:30.960 --> 02:38:36.560]   Exactly your dot files or whatever. I mean, it's not just pro-readers. Yeah, it's not so I think yeah
[02:38:36.560 --> 02:38:42.720]   Yeah, so so that's a that's a good idea. I'll bring it up and see like what where they are in terms of their kind of introductory content
[02:38:42.720 --> 02:38:47.120]   There might already be people doing things like that. I don't know but that's a that's a really good idea
[02:38:47.120 --> 02:38:52.880]   But yeah, we will be doing doing videos and and you know, of course always highlighting community projects and whatnot
[02:38:52.880 --> 02:38:56.640]   Oh, I will plug this real quick a show that I had done at
[02:38:56.640 --> 02:38:59.520]   Microsoft called the download
[02:38:59.520 --> 02:39:04.480]   Which was kind of like the developer news of the week. We were actually going to be bringing that over to the
[02:39:04.480 --> 02:39:06.480]   YouTube channel
[02:39:06.480 --> 02:39:12.320]   Um, it'll it'll be expanding its scope a little bit be more you know open source stuff and and so the
[02:39:12.320 --> 02:39:16.000]   The tenor might change a little bit but the the same
[02:39:16.000 --> 02:39:22.480]   Style and same sort of thing will be we'll be coming to you know as an open source fan. I am thrilled
[02:39:22.480 --> 02:39:26.240]   That you're a github. I think that is a perfect match for you
[02:39:26.800 --> 02:39:30.480]   You youtube.com/github github.com
[02:39:30.480 --> 02:39:36.160]   Honestly, don't tell them this the free tier is really great. It is fantastic
[02:39:36.160 --> 02:39:41.440]   You don't really need to pay for it. Yeah, so I mean, I you know, I have a lot of public you have to have public
[02:39:41.440 --> 02:39:46.880]   Uh, I think you only have a limited number of private repository. No, it's unlimited private. It's unlimited private
[02:39:46.880 --> 02:39:51.920]   And then okay, so yeah, so really a lot of fun for most people for most teams
[02:39:52.000 --> 02:39:56.880]   Even like the free plan is is great if you need more uh, the github action minutes or some other things
[02:39:56.880 --> 02:40:03.600]   There are some reasons to pay. Um, but for I mean honestly at this point like I've I've paid for the the
[02:40:03.600 --> 02:40:08.960]   Like professional like pro plan like $48. I did for a long time and I I done it for last few years
[02:40:08.960 --> 02:40:12.800]   And I honestly they now I don't have to because I get it for free
[02:40:12.800 --> 02:40:16.000]   Which is nice but but but I was doing it before just because I was like well
[02:40:16.000 --> 02:40:20.880]   I'll I'll do this just to support it back in my mind. Well, right now. I say that and then I'm like
[02:40:21.680 --> 02:40:26.160]   Okay, but it's owned by you know, like you start like I kind of like do the passion
[02:40:26.160 --> 02:40:28.480]   We don't need the money. Is that what you're saying?
[02:40:28.480 --> 02:40:29.680]   Right kind of
[02:40:29.680 --> 02:40:37.360]   No, I want to support him. I love github. I actually use them. I use a github gist for my open pgp proof
[02:40:37.360 --> 02:40:42.080]   So there's all sorts of things. Uh, you can you can use it for it's just amazing
[02:40:42.080 --> 02:40:45.280]   Um, yeah, really good. I'm really glad to see you there
[02:40:45.280 --> 02:40:51.440]   Thank you. I'm always glad to see you here. Thank you, christina warne. Same for you wesley fauchner
[02:40:52.240 --> 02:40:56.320]   Thrilled to have you on head of community single store is a single store.com
[02:40:56.320 --> 02:41:01.440]   Yes, it is single store and if you're a developer and you're looking for a good database
[02:41:01.440 --> 02:41:05.280]   The database for the data intensive era
[02:41:05.280 --> 02:41:11.600]   You need single store and uh, if you want to join the community. This is the guy right here wesley fauchner
