;FFMETADATA1
title=Gelato in Perugia With Craig
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=504
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:01.200]   It's time for Twig!
[01:50:34.500 --> 01:50:37.060]   We thank WordPress.com for their support.
[01:50:37.060 --> 01:50:42.860]   Personally, I thank Matt Mullenweig for making some great software and for 12 years at WordPress.
[01:50:42.860 --> 01:50:43.860]   Amen to that, Tom.
[01:50:43.860 --> 01:50:45.740]   Yeah, Matt's a amazing guy.
[01:50:45.740 --> 01:50:46.740]   What a great guy.
[01:50:46.740 --> 01:50:47.740]   He is a great guy.
[01:50:47.740 --> 01:50:48.740]   It's a great product.
[01:50:48.740 --> 01:50:49.740]   He's a great model.
[01:50:49.740 --> 01:50:53.340]   He's a little bit like Craig Newmark where he's one of these guys who's a founder who
[01:50:53.340 --> 01:50:58.820]   just kind of quietly does his stuff and does such a great job.
[01:50:58.820 --> 01:51:01.660]   It's really cool.
[01:51:01.660 --> 01:51:04.660]   Matthew Ingram, Columbia Journalism Review.
[01:51:04.660 --> 01:51:06.860]   Share something with us.
[01:51:06.860 --> 01:51:13.140]   I think I suggested this earlier, but I sort of like the idea that when it comes to rebuilding
[01:51:13.140 --> 01:51:21.700]   Notre Dame, they may wind up using Assassin's Creed because of the designer.
[01:51:21.700 --> 01:51:27.500]   One of the designers for the game said she spent almost two years modeling the inside
[01:51:27.500 --> 01:51:30.220]   of Notre Dame for the game.
[01:51:30.220 --> 01:51:34.340]   Every brick, every piece of wood, every...
[01:51:34.340 --> 01:51:39.380]   So there's this incredible 3D model of what is now gone.
[01:51:39.380 --> 01:51:41.540]   I just find that fascinating.
[01:51:41.540 --> 01:51:43.940]   Thank goodness.
[01:51:43.940 --> 01:51:45.940]   Soon as I was...
[01:51:45.940 --> 01:51:48.700]   Here's, by the way, a picture from Assassin's Creed.
[01:51:48.700 --> 01:51:54.540]   So of the Assassin sitting on the roof looking across, what is this?
[01:51:54.540 --> 01:51:55.740]   18th century Paris?
[01:51:55.740 --> 01:51:57.780]   It looks like it at Notre Dame.
[01:51:57.780 --> 01:51:59.220]   I think so, yeah.
[01:51:59.220 --> 01:52:00.220]   Yeah.
[01:52:00.220 --> 01:52:01.220]   I love Assassin's Creed.
[01:52:01.220 --> 01:52:03.020]   I hadn't played Unity, so I'll have to...
[01:52:03.020 --> 01:52:04.700]   Actually, I think I own it.
[01:52:04.700 --> 01:52:06.100]   I'll have to download it.
[01:52:06.100 --> 01:52:12.820]   Yeah, it's during the French Revolution.
[01:52:12.820 --> 01:52:15.060]   Thank goodness.
[01:52:15.060 --> 01:52:20.180]   Of course, as I'm sure many people did, went back when I saw the fire, went back to my
[01:52:20.180 --> 01:52:24.060]   own pictures of Notre Dame for many, many visits over the years.
[01:52:24.060 --> 01:52:25.060]   And such memories.
[01:52:25.060 --> 01:52:29.260]   And as I looked inside and I saw all those wooden sculptures and, of course, the beautiful
[01:52:29.260 --> 01:52:33.300]   rose windows and I thought, "Oh my God, I hope this isn't lost."
[01:52:33.300 --> 01:52:36.540]   I think this big rose window here on the south faces say...
[01:52:36.540 --> 01:52:39.620]   It sounds like the rose windows are relatively safe.
[01:52:39.620 --> 01:52:40.620]   All of the rose windows.
[01:52:40.620 --> 01:52:41.620]   All of them?
[01:52:41.620 --> 01:52:42.620]   All of them are safe.
[01:52:42.620 --> 01:52:47.260]   What they don't know is what impact the fire had on the masonry.
[01:52:47.260 --> 01:52:48.260]   Right.
[01:52:48.260 --> 01:52:49.260]   So the wood is gone for sure.
[01:52:49.260 --> 01:52:50.260]   Yeah.
[01:52:50.260 --> 01:52:51.260]   But they don't know.
[01:52:51.260 --> 01:52:55.460]   I mean, it's 800 year old, you know, plaster.
[01:52:55.460 --> 01:52:57.900]   It's unclear what heat would do to that.
[01:52:57.900 --> 01:52:58.900]   Wow.
[01:52:58.900 --> 01:53:01.300]   This model is very complete.
[01:53:01.300 --> 01:53:02.300]   Look at this.
[01:53:02.300 --> 01:53:03.300]   Yeah, it's amazing.
[01:53:03.300 --> 01:53:04.300]   This is...
[01:53:04.300 --> 01:53:05.300]   Yeah.
[01:53:05.300 --> 01:53:12.100]   I hope they don't put the cannons back, but the rest of it, that's very cool.
[01:53:12.100 --> 01:53:18.420]   I didn't realize that the gargoyles, most of them are relatively modern.
[01:53:18.420 --> 01:53:20.980]   So I thought they dated back to the 30th century.
[01:53:20.980 --> 01:53:23.980]   Yeah, there was a big remodel in the 19th century, right?
[01:53:23.980 --> 01:53:24.980]   Yeah.
[01:53:24.980 --> 01:53:25.980]   Yeah.
[01:53:25.980 --> 01:53:26.980]   I have a series.
[01:53:26.980 --> 01:53:27.980]   I had that...
[01:53:27.980 --> 01:53:33.580]   So you know the rooster that was on top of the steel part of the spire?
[01:53:33.580 --> 01:53:34.580]   No.
[01:53:34.580 --> 01:53:40.020]   So there was a rooster right at the very, very top of the metal pole on the spire.
[01:53:40.020 --> 01:53:47.060]   And when they put that there in 1935, they put bits of various saints into the rooster.
[01:53:47.060 --> 01:53:48.060]   Oh, how funny.
[01:53:48.060 --> 01:53:49.060]   Yeah.
[01:53:49.060 --> 01:53:52.340]   And so the idea was it was going to be like a spiritual lightning rod.
[01:53:52.340 --> 01:53:54.340]   So they would protect the church.
[01:53:54.340 --> 01:53:55.340]   Yikes.
[01:53:55.340 --> 01:53:56.340]   And the rooster...
[01:53:56.340 --> 01:53:57.340]   The Catholics are very much.
[01:53:57.340 --> 01:53:58.340]   Yeah.
[01:53:58.340 --> 01:54:03.860]   The rooster survived and the crown of thorns was...
[01:54:03.860 --> 01:54:06.500]   Can you imagine being the priest who went in...
[01:54:06.500 --> 01:54:08.060]   You had to go get it.
[01:54:08.060 --> 01:54:09.460]   And there was the fire department chapter.
[01:54:09.460 --> 01:54:11.060]   He was the head of the fire brigade, yeah.
[01:54:11.060 --> 01:54:16.420]   It was the same guy who ran into the Bataclan nightclub after the mass shooting there.
[01:54:16.420 --> 01:54:20.540]   But can you imagine being that guy and he's carrying in his hands whether you believe
[01:54:20.540 --> 01:54:22.460]   it's the actual crown of thorns or not?
[01:54:22.460 --> 01:54:24.220]   He probably does.
[01:54:24.220 --> 01:54:26.220]   The crown of thorns.
[01:54:26.220 --> 01:54:31.180]   I remember going to when I was in Italy, we went into the catacombs.
[01:54:31.180 --> 01:54:33.420]   I think it was a CZ.
[01:54:33.420 --> 01:54:39.180]   And so St. Francis is there and there are all these relics, bits and pieces of fingers
[01:54:39.180 --> 01:54:43.500]   and toes and whatnot that were passed around for centuries.
[01:54:43.500 --> 01:54:50.060]   And the guy who was doing the tour said, "Every church like this has bits and pieces of what
[01:54:50.060 --> 01:54:51.780]   they say are the true cross."
[01:54:51.780 --> 01:54:52.780]   Right.
[01:54:52.780 --> 01:54:57.620]   And all those bits together, you could build a shopping mall.
[01:54:57.620 --> 01:55:03.500]   There was a very brisk business in relic wall, in relic wall, in the middle ages.
[01:55:03.500 --> 01:55:06.380]   It's kind of hard to know what the provenance of any of that stuff is.
[01:55:06.380 --> 01:55:11.380]   We were in the church in Pisa, it's where the leaning thing is.
[01:55:11.380 --> 01:55:14.060]   But it's actually got a beautiful church as well.
[01:55:14.060 --> 01:55:20.260]   And in the church, there is St. Can't remember his name now, but he's the patron saint.
[01:55:20.260 --> 01:55:24.260]   And so they have him in a sarcophagus on top of the altar.
[01:55:24.260 --> 01:55:28.900]   And it describes how they basically, one guy had to go around and pick up bits of him from
[01:55:28.900 --> 01:55:32.940]   all over the country and then try and put him back together.
[01:55:32.940 --> 01:55:34.220]   This is a fun job.
[01:55:34.220 --> 01:55:38.580]   This is from the grand front door at Notre Dame and you could see how much detail in the
[01:55:38.580 --> 01:55:41.980]   carvings and it would be so sad if that had been lost.
[01:55:41.980 --> 01:55:45.780]   I'm so glad that it's preserved.
[01:55:45.780 --> 01:55:48.780]   I also didn't know one of the towers is a little taller than the other.
[01:55:48.780 --> 01:55:49.780]   Yes.
[01:55:49.780 --> 01:55:53.540]   I don't know if that was intentional.
[01:55:53.540 --> 01:55:56.820]   Sometimes you see that with perspective.
[01:55:56.820 --> 01:55:59.060]   What was it?
[01:55:59.060 --> 01:56:00.060]   Was it the Parthenon?
[01:56:00.060 --> 01:56:04.580]   I think it's the Parthenon where it's actually built a skew just so that it doesn't look
[01:56:04.580 --> 01:56:09.260]   like it's fallen over when you look up at it.
[01:56:09.260 --> 01:56:13.740]   These Greeks, Jeff Jarvis, you've got four different things.
[01:56:13.740 --> 01:56:14.740]   I got two.
[01:56:14.740 --> 01:56:18.860]   I'm going to do my favorite onion headline in quite a while.
[01:56:18.860 --> 01:56:23.820]   "Sheet Buddha Judge Stuns Campaign Crowd" by speaking to manufacturing robots, "Influent
[01:56:23.820 --> 01:56:24.820]   Binary."
[01:56:24.820 --> 01:56:25.820]   Nice.
[01:56:25.820 --> 01:56:27.820]   "South Bend Mayor."
[01:56:27.820 --> 01:56:30.380]   I almost believe it.
[01:56:30.380 --> 01:56:31.380]   His French was excellent.
[01:56:31.380 --> 01:56:32.380]   He did his French.
[01:56:32.380 --> 01:56:35.220]   His Norwegian is excellent too.
[01:56:35.220 --> 01:56:36.220]   Oh man.
[01:56:36.220 --> 01:56:43.420]   So 0101111007, said the 37-year-old South Bend had the animator, the awestruck machines,
[01:56:43.420 --> 01:56:47.460]   delivering the message by admitting a series of high-pitched tones and beats with the perfect
[01:56:47.460 --> 01:56:48.460]   accent.
[01:56:48.460 --> 01:56:49.460]   Nice.
[01:56:49.460 --> 01:56:55.940]   I'll bet if you somehow decoded the binary, it actually says something I'm sure.
[01:56:55.940 --> 01:56:59.940]   At press time, US manufacturing robots had donated $10 million.
[01:56:59.940 --> 01:57:04.620]   "Buddajedge's Campaign" helped surge to the top of the polls.
[01:57:04.620 --> 01:57:05.620]   That is great.
[01:57:05.620 --> 01:57:10.580]   Are you trading in your Kamala hat for a Buddha judge?
[01:57:10.580 --> 01:57:11.580]   No, no, no, no.
[01:57:11.580 --> 01:57:12.580]   I'm still Kamala.
[01:57:12.580 --> 01:57:13.580]   I'm still Kamala.
[01:57:13.580 --> 01:57:14.580]   Kamala.
[01:57:14.580 --> 01:57:15.580]   I think.
[01:57:15.580 --> 01:57:21.140]   Harris "Buddajedge" has weird as a pupper sticker as that would be.
[01:57:21.140 --> 01:57:22.140]   Killer.
[01:57:22.140 --> 01:57:23.540]   Would be a killer team.
[01:57:23.540 --> 01:57:25.660]   Would be Kamala Pete.
[01:57:25.660 --> 01:57:31.540]   But the other thing, Leo, since you are so eager to constantly protest social media, I
[01:57:31.540 --> 01:57:33.740]   finally have the way that you can do it in public.
[01:57:33.740 --> 01:57:34.740]   I'm joining this.
[01:57:34.740 --> 01:57:35.900]   There's only one condition.
[01:57:35.900 --> 01:57:36.900]   Yes.
[01:57:36.900 --> 01:57:38.380]   You have to do it naked.
[01:57:38.380 --> 01:57:39.380]   Oh, what?
[01:57:39.380 --> 01:57:45.100]   Spencer Tunic, who does all these famous naked people on the house.
[01:57:45.100 --> 01:57:46.100]   I've seen his pictures.
[01:57:46.100 --> 01:57:47.100]   Yeah.
[01:57:47.100 --> 01:57:51.340]   He's going to do one in New York to protest censorship on social media.
[01:57:51.340 --> 01:57:54.100]   It's called, what the hell was it I missed it now?
[01:57:54.100 --> 01:57:57.100]   It has a hashtag already.
[01:57:57.100 --> 01:58:00.100]   Hashtag, we even nipple.
[01:58:00.100 --> 01:58:01.100]   We even nipple.
[01:58:01.100 --> 01:58:02.100]   Okay.
[01:58:02.100 --> 01:58:04.100]   This was like a full-time job.
[01:58:04.100 --> 01:58:08.100]   It was a very Canadian moment there for Matthew.
[01:58:08.100 --> 01:58:09.100]   Okay.
[01:58:09.100 --> 01:58:10.100]   Okay.
[01:58:10.100 --> 01:58:11.100]   Okay.
[01:58:11.100 --> 01:58:14.100]   I just love those names Spencer Tunic.
[01:58:14.100 --> 01:58:19.100]   I am not coming out for that.
[01:58:19.100 --> 01:58:21.700]   I'm just going to tell you right now.
[01:58:21.700 --> 01:58:23.700]   No, no, ain't nobody want to see that.
[01:58:23.700 --> 01:58:25.580]   But you've been doing the keto thing.
[01:58:25.580 --> 01:58:29.260]   You're probably in, you're ripped probably now.
[01:58:29.260 --> 01:58:30.260]   If only.
[01:58:30.260 --> 01:58:33.220]   Notice, I'm sitting in front of all these cupcakes.
[01:58:33.220 --> 01:58:34.220]   Cupcakes.
[01:58:34.220 --> 01:58:35.220]   Yeah.
[01:58:35.220 --> 01:58:36.860]   Say your staff is torturing you.
[01:58:36.860 --> 01:58:39.620]   I feel no, I feel nothing.
[01:58:39.620 --> 01:58:40.620]   Yeah.
[01:58:40.620 --> 01:58:41.620]   That's cool.
[01:58:41.620 --> 01:58:42.620]   Right.
[01:58:42.620 --> 01:58:45.140]   I have no, no urges or anything.
[01:58:45.140 --> 01:58:47.620]   No, no, just, just there.
[01:58:47.620 --> 01:58:49.340]   They don't speak to me anymore.
[01:58:49.340 --> 01:58:55.260]   Ladies and gentlemen, that concludes this thrilling and gripping edition of this week
[01:58:55.260 --> 01:58:57.620]   in Google.
[01:58:57.620 --> 01:59:03.620]   Mr. Gelato and Perugia, Matthew Ingram, we thank you so much for joining us.
[01:59:03.620 --> 01:59:05.220]   Chief Digital Writer at CJR.org.
[01:59:05.220 --> 01:59:06.780]   Thank you for having me.
[01:59:06.780 --> 01:59:08.260]   On short notice, no less.
[01:59:08.260 --> 01:59:09.420]   We appreciate that.
[01:59:09.420 --> 01:59:10.420]   Thank you.
[01:59:10.420 --> 01:59:14.940]   Jeff Jarvis, Professor of Journalism at the City University of New York.
[01:59:14.940 --> 01:59:15.940]   Great to have you.
[01:59:15.940 --> 01:59:16.940]   TV Guide.
[01:59:16.940 --> 01:59:17.940]   Form a TV Guide.
[01:59:17.940 --> 01:59:18.940]   That was all this.
[01:59:18.940 --> 01:59:22.980]   I was on my tombstone.
[01:59:22.980 --> 01:59:28.980]   The joke there is that when we last saw Jeff on MSNBC for reasons no one understands,
[01:59:28.980 --> 01:59:31.540]   that was his lower third title.
[01:59:31.540 --> 01:59:35.140]   Former TV Guide critic and blogger Jeff Jones.
[01:59:35.140 --> 01:59:36.140]   Wow.
[01:59:36.140 --> 01:59:37.380]   It's all true.
[01:59:37.380 --> 01:59:38.380]   It's not untrue.
[01:59:38.380 --> 01:59:39.380]   Yeah.
[01:59:39.380 --> 01:59:40.980]   I believe it leads to yours.
[01:59:40.980 --> 01:59:42.380]   Yeah, faint praise.
[01:59:42.380 --> 01:59:43.380]   Yeah.
[01:59:43.380 --> 01:59:44.380]   Thank you, everybody.
[01:59:44.380 --> 01:59:50.980]   I'm going to go smoke my meat, but we're glad you tuned in for this week in Google.
[01:59:50.980 --> 01:59:56.020]   We do the show every Wednesday afternoon, 130 Pacific, 430 Eastern, 2030 UTC.
[01:59:56.020 --> 01:59:59.500]   You can watch or listen live at twit.tv/live.
[01:59:59.500 --> 02:00:03.100]   Download on-demand versions of the show at twit.tv/twig.
[02:00:03.100 --> 02:00:08.420]   But the best thing, the thing that would make my heart go pitapat is if you would subscribe
[02:00:08.420 --> 02:00:11.500]   in your favorite podcatcher that does a number of things.
[02:00:11.500 --> 02:00:15.660]   First of all, guarantees you'll have the show the minute it comes out so you can get
[02:00:15.660 --> 02:00:18.180]   on your other Thursday morning commute.
[02:00:18.180 --> 02:00:22.700]   It also tells the creator of that podcast application that we're popular.
[02:00:22.700 --> 02:00:25.660]   And often that helps us get high in the directories there.
[02:00:25.660 --> 02:00:28.020]   And it also helps with our downloads.
[02:00:28.020 --> 02:00:29.300]   We know that you're watching.
