;FFMETADATA1
title=The Alpha Bet
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=313
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:03.660]   It's time for Twig this weekend Google a big show today in fact
[02:31:14.480 --> 02:31:20.400]   Chrome OS and uh, it's just a it's a it's a kind of a slow performing thing, but one of the great things
[02:31:20.400 --> 02:31:22.240]   Oh, it's not real fast
[02:31:22.240 --> 02:31:26.800]   It is not even even with a direct ethernet connection on a very fast internet connection
[02:31:26.800 --> 02:31:28.880]   It's still kind of pokey
[02:31:29.280 --> 02:31:35.360]   But take rek1 in there. Yeah, which is not a bad processor, but that's a lot of pixels is it is a tour format
[02:31:35.360 --> 02:31:42.640]   Um two or four what ram it's four gigs of ram. Oh nice. Yeah, and 16 gigs of storage
[02:31:42.640 --> 02:31:46.960]   And it comes with a complimentary hundred gigs of google drive storage
[02:31:46.960 --> 02:31:50.320]   Which is nice which most crumbooks do yeah, and
[02:31:50.320 --> 02:31:54.880]   It comes with a keyboard and mouse which you can use and i'm using the virtual keyboard right now
[02:31:54.880 --> 02:31:57.680]   Which pops up when you you know go to to do something like this
[02:31:57.680 --> 02:32:04.080]   But it goes down to like like almost a drafting table for touch which is great and then it goes up to like a monitor
[02:32:04.080 --> 02:32:06.400]   12 and a half pounds
[02:32:06.400 --> 02:32:08.400]   Yeah, it's part of the fitness plan
[02:32:08.400 --> 02:32:14.400]   Um and it's you know, it's 178 degree viewing angle. It's got a 1080p screen the screen isn't great
[02:32:14.400 --> 02:32:19.360]   Um, yeah, well for instance from over here. It looks terrible. Yeah, and that's not necessarily a disadvantage
[02:32:19.360 --> 02:32:24.560]   Although this is the kind of thing multiple people might be using it right? Yes, it might i'd use it for breakfast
[02:32:24.960 --> 02:32:30.160]   Yeah, as a tray. Yes, put the cereal the eggs on it bring it. Yeah, it'd be great. It'd be great for that
[02:32:30.160 --> 02:32:34.080]   Although it's 12 pounds so um, but it's you know, it's it's a nice
[02:32:34.080 --> 02:32:40.800]   The construction couldn't feel more solid. I mean just feels incredibly solid it comes with the keyboard comes with the keyboard and mouse
[02:32:40.800 --> 02:32:45.200]   And i normally use it with a keyboard and mouse, but for the show i'm just using touch
[02:32:45.200 --> 02:32:49.200]   It's flexible that way. It is not a mobile device. This is not a mobile tablet
[02:32:49.200 --> 02:32:54.240]   So carrying it around is a bit clunky and awkward. So it's it's not designed to be carried around
[02:32:54.240 --> 02:32:58.080]   Well, I just returned the review unit of the of the chrome book flip that I have
[02:32:58.080 --> 02:33:04.560]   Which I did open up on the show. I never reported back. It turned out to be really slow. Yeah, sadly
[02:33:04.560 --> 02:33:11.200]   Yeah, um and and as I did think I said on the show it that size screen chrome is not built for touch yet
[02:33:11.200 --> 02:33:15.440]   Yeah, so the things you have to click on if you do touch only don't work so well, but that's why the screen
[02:33:15.440 --> 02:33:24.080]   The touch should work. Okay, right? Yeah, absolutely. And so a lot of people, you know, I think I'm recommending more and more that people have multiple displays for different reasons
[02:33:24.480 --> 02:33:31.360]   And using a chrome book or chrome base or some chrome o s base device is very secure for email and web browsing
[02:33:31.360 --> 02:33:36.960]   You want to you want to go ahead and be tracked but not get malware and and not have the fishing attacks and all that kind of stuff
[02:33:36.960 --> 02:33:40.800]   Then do email and most of your web browsing on a chrome book or chrome base
[02:33:40.800 --> 02:33:43.600]   And this is a great way to do that and then if you have to have another device
[02:33:43.600 --> 02:33:47.200]   It's a good idea. This could be like the banking terminal. They're so cheap now
[02:33:47.200 --> 02:33:50.720]   They're so inexpensive that there's no reason not to do this this supports the visa
[02:33:51.120 --> 02:33:54.720]   Mounting interface standards so you can mount it on put it on the wall home or whatever on the wall
[02:33:54.720 --> 02:33:58.960]   Whatever. This is the return of the kitchen computer exactly so it's at 430 bucks
[02:33:58.960 --> 02:34:04.960]   I don't see any reason why anybody wouldn't want to get this for the kitchen for just have around the house to have on your desk
[02:34:04.960 --> 02:34:07.040]   Get two of them get one for the kids
[02:34:07.040 --> 02:34:10.560]   It's a chrome book or it's a giant chrome book that supports touch
[02:34:10.560 --> 02:34:15.840]   And I see I see a bob's couch soon set up with this built-in. Yes. Oh
[02:34:15.840 --> 02:34:18.800]   Yes, wouldn't that be great
[02:34:20.080 --> 02:34:22.080]   Yeah
[02:34:22.080 --> 02:34:28.480]   It's gotta be it's not a lap. You can't lap this. This is this is a table or a wall. Oh, press your lap
[02:34:28.480 --> 02:34:30.640]   If it's kind of visa mount, that's kind of cool
[02:34:30.640 --> 02:34:34.160]   You can for twice as much as the actual cost of the computer right have a of an arm
[02:34:34.160 --> 02:34:39.040]   Articulating arm one use case you put this on your desk at at at home
[02:34:39.040 --> 02:34:42.800]   And you have another one at work and you don't carry anything back and forth from home work
[02:34:42.800 --> 02:34:45.040]   You just sit down and all that stuff is in the cloud
[02:34:45.200 --> 02:34:48.640]   Yeah, and you can do nowadays as as we've discussed on the show
[02:34:48.640 --> 02:34:53.760]   Multiple times with the chrome books you can do everything just about I'm I'm very
[02:34:53.760 --> 02:34:58.880]   I completely as everybody knows changed my tune on these things. I really like that books
[02:34:58.880 --> 02:35:04.720]   I love the pixel and they give you enormous this again. We need a pixel version of this right a high end
[02:35:04.720 --> 02:35:09.680]   It would be 2000 bucks. Yeah. Okay. So here's all right now that google is off on its own
[02:35:10.560 --> 02:35:15.520]   Sundar did chrome did android. Yeah, do you think that the chrome the chrome browser?
[02:35:15.520 --> 02:35:18.560]   I'm sure is is safe. Oh, yeah, do you ever make another pixel?
[02:35:18.560 --> 02:35:27.120]   I think so. Yeah, I mean just just for google employees and you know in alphabet employees to help so um
[02:35:27.120 --> 02:35:30.160]   Let me suggest this would be a great bathroom computer. Although
[02:35:30.160 --> 02:35:35.920]   Uh, you matter of all but don't get the touch don't get the touch version. Yeah. Hey, could I dissure a camera on it?
[02:35:35.920 --> 02:35:39.920]   Is it a decent camera? Yeah, there's a camera that I do my facebook live stream. You could yes get it
[02:35:39.920 --> 02:35:41.920]   You get a cat
[02:35:41.920 --> 02:35:46.560]   And and go to the biggles. Well the orthodontist and have your teeth ruined
[02:35:46.560 --> 02:35:49.600]   I think you I think you you know, you're gonna go places kid
[02:35:49.600 --> 02:35:53.040]   It's interesting has 10 point a touch because yeah, that's
[02:35:53.040 --> 02:35:56.560]   Expensive. That's probably one of the reasons why it is so expensive. Yeah
[02:35:56.560 --> 02:35:59.440]   Uh, nice pick
[02:35:59.440 --> 02:36:03.680]   Very nice. I think we should wrap this up now since on a high note
[02:36:03.680 --> 02:36:06.960]   Because anything I say might be depressing
[02:36:07.840 --> 02:36:12.320]   Hey, matthew. Thank you for joining us from the lake. God. You could have been fish and swimming
[02:36:12.320 --> 02:36:16.080]   kayak and canoeing hike and making back
[02:36:16.080 --> 02:36:21.040]   Campfire. I'm gonna get one of those tablet things. I'm gonna take it out of the kayak
[02:36:21.040 --> 02:36:28.960]   Uh great to have you as always fortune.com at matthew. I on the twitter
[02:36:28.960 --> 02:36:35.680]   One tea in the matthew though that might throw you so it do just one tea matthew. I and instagram too
[02:36:35.680 --> 02:36:40.880]   I don't know where I see your pictures, but some beautiful pictures of sunset on the lake from the canoe
[02:36:40.880 --> 02:36:46.160]   Your lovely wife. It's just uh, congratulations. This is your 28th
[02:36:46.160 --> 02:36:49.120]   Uh 28th, 28th anniversary
[02:36:49.120 --> 02:36:52.000]   Very nice. Thank you matthew
[02:36:52.000 --> 02:36:53.600]   Thanks, bro. See you
[02:36:53.600 --> 02:36:57.120]   Jeff Jarvis. Thank you for uh, thank you to your kids
[02:36:57.120 --> 02:37:02.400]   Yes for putting up with me uh wanting to be on the show today, but this was an important week
[02:37:02.480 --> 02:37:07.360]   It's always always an important week. I'm twig but uh, you were you were scheduled to pick them at the air
[02:37:07.360 --> 02:37:14.000]   Up the air. It was all kinds of yeah all kinds of logistical things and uh, they moved mountains and got here back in the time to move themselves
[02:37:14.000 --> 02:37:17.920]   And that's why I thank them. Thank you. And I should by the way, I should plug that as of today
[02:37:17.920 --> 02:37:21.760]   I started a new media column in the new york observer, which is called now. Nice
[02:37:21.760 --> 02:37:24.640]   What's it called? Uh,
[02:37:24.640 --> 02:37:26.880]   I don't know if they give it a name or not. I actually don't know
[02:37:26.880 --> 02:37:31.920]   So you're you're back to uh, you're becoming an ink stain rich once again
[02:37:32.160 --> 02:37:34.640]   I had to I had to admit that I I wrote to um
[02:37:34.640 --> 02:37:40.960]   The editor who was nice enough to ask me to do this and I thought about for a while and I thought I said, you know, I'm i'm editorially feral
[02:37:40.960 --> 02:37:46.160]   Um, I don't feel well with editors anymore. You sure you want me
[02:37:46.160 --> 02:37:51.200]   And uh, he said well, I'm a light touch and so there it is so under under innovation with the observer
[02:37:51.200 --> 02:37:55.040]   I argued that we have too many journalists, but I don't really mean it. You'll see what I mean
[02:37:55.040 --> 02:37:59.680]   You know what this is uh, this looks like a night. I don't I don't know much about the observer
[02:37:59.680 --> 02:38:04.960]   What's the observers have been a really really neat publication in New York for on. I don't know 25 years
[02:38:04.960 --> 02:38:09.680]   Was it a print paper? Oh, yeah. Yeah, it still is. It's a salmon color for right right
[02:38:09.680 --> 02:38:15.840]   Um, but they also have a online uh site called observer. Yeah looks quite good
[02:38:15.840 --> 02:38:21.120]   Yeah, I you know, I'm gonna add this to my regular visits. This looks great. No paywall, huh
[02:38:21.120 --> 02:38:23.840]   Nope. Nice
[02:38:23.840 --> 02:38:29.360]   Are you in the internet culture section the innovation section innovation, but then there's sub media?
[02:38:29.360 --> 02:38:32.000]   I guess under media and their media internet innovation
[02:38:32.000 --> 02:38:34.000]   Media
[02:38:34.000 --> 02:38:36.560]   That'd be a good place to put you it's a mid a mid lay-off
[02:38:36.560 --> 02:38:40.640]   Mid constantly obstetrician stopped parroting each other. There it is. There it is. Yes, so
[02:38:40.640 --> 02:38:45.280]   Legola that is a great picture at the evening standard in 1975
[02:38:45.280 --> 02:38:49.120]   You and matthew remembered days like that typewriters
[02:38:49.120 --> 02:38:51.680]   telephones with dial newmatic tubes
[02:38:51.680 --> 02:38:53.920]   pneumatic
[02:38:53.920 --> 02:38:56.960]   I love those things. They were great
[02:38:58.080 --> 02:38:59.200]   You
[02:38:59.200 --> 02:39:01.200]   I remember when they were copy boys
[02:39:01.200 --> 02:39:02.800]   I
[02:39:02.800 --> 02:39:05.120]   Know I used to love being a scream copy
