
[00:00:00.000 --> 00:00:05.160]   It's time for Mac break weekly Renee's here and he's here. We're gonna ask Renee about that picture
[02:00:30.720 --> 02:00:35.120]   Rediculous thing ever, but I want to test it out. You can just let someone in they'll come in
[02:00:35.200 --> 02:00:37.600]   Hey, how are you and it's not that you've left your door open
[02:00:37.600 --> 02:00:41.920]   It's that you knew they were on their way in and you just timed it to unlock so so far
[02:00:41.920 --> 02:00:44.640]   And from the outside you cannot tell that you have a smart door
[02:00:44.640 --> 02:00:50.240]   I know some some of them uh like slag has a version where you have a keypad and it's obviously a home kit lock
[02:00:50.240 --> 02:00:55.120]   And some people don't like it because they think that it tells people you have a smart lock and then it invites people to try to hack it
[02:00:55.120 --> 02:00:59.120]   This from the outside looks it is it is doesn't look like your lock. It is your lock
[02:00:59.120 --> 02:01:01.200]   It's only the inside part
[02:01:01.200 --> 02:01:06.240]   That changes and it's still manual you can turn the giant knob if you want to to manually lock it or unlock it
[02:01:06.240 --> 02:01:09.680]   And you still get a notification of someone is manually locking it or unlocking it
[02:01:09.680 --> 02:01:11.840]   So I've been very impressed with it so far
[02:01:11.840 --> 02:01:15.200]   Is it particularly satisfying when you turn the giant knob
[02:01:15.200 --> 02:01:18.720]   It's it's almost like you're in an airlock leo and you're just like shh
[02:01:18.720 --> 02:01:18.800]   Shh
[02:01:18.800 --> 02:01:18.800]   Shh
[02:01:18.800 --> 02:01:18.800]   Shh
[02:01:18.800 --> 02:01:24.640]   And then it closes and it goes green it goes really when it's open and it goes red and goes to room when it's closed
[02:01:24.640 --> 02:01:28.320]   Uh, and it makes you like it's not like a star trek or star where a sliding door
[02:01:28.800 --> 02:01:35.200]   But it's the closest i'm going to come in in the in the foreseeable future. So i'm i'm happy you had me a sliding door
[02:01:35.200 --> 02:01:42.400]   I'm going to get the door help. I've avoided you know, we have just regular normal keys and locks in our house, but this might be
[02:01:42.400 --> 02:01:46.720]   This might be the way to go you still have the lock is from the outside
[02:01:46.720 --> 02:01:49.680]   It's the same lock so you can still use a key to lock it or unlock it if you want
[02:01:49.680 --> 02:01:54.000]   Like you can go battle star galac if if the silence take over and still have manual access
[02:01:54.000 --> 02:02:02.720]   But it's just there and it works with apple watch and you don't need to do the authentication because apple watch is already authenticated based on staying on your wrist and reading your pulse
[02:02:02.720 --> 02:02:06.800]   So a lot of times I can just say schlomo on my apple watch and it'll just well actually all the time now
[02:02:06.800 --> 02:02:09.280]   It just opens and closes. I don't have to reach from my phone
[02:02:09.280 --> 02:02:13.120]   Which is great if i'm carrying a box or or something and I don't want to have to actually stop
[02:02:13.120 --> 02:02:16.000]   Over your existing knob. Yeah
[02:02:16.000 --> 02:02:19.200]   It doesn't go over it if you pull out the back of the dead
[02:02:19.200 --> 02:02:21.840]   And you put this on instead of the back of the dead ball. Oh
[02:02:22.560 --> 02:02:29.520]   That's the black so it only modifies the back the front is the same. It's still the keys. Oh, wow. What a good idea
[02:02:29.520 --> 02:02:34.320]   Yeah, I really like it's not one. It's not janky. It actually it works pretty well and all that
[02:02:34.320 --> 02:02:39.040]   Yep. No. Yeah. No, it's so far. It's so good and you can get I believe there's two colors
[02:02:39.040 --> 02:02:43.040]   There's like silver and black and I had brass before so I got the black one because I figured yeah
[02:02:43.040 --> 02:02:45.280]   It would do it much better. Yeah, we have uh
[02:02:45.280 --> 02:02:50.160]   Yeah, that hand rubbed bronze or whatever the hell they call it. Nothing matches
[02:02:50.880 --> 02:02:53.200]   Yeah, it's a collectically. We call that a collective
[02:02:53.200 --> 02:03:00.960]   August calm very nice. I think this is the one stacy also as rec they do have keypads and they do have other versions too
[02:03:00.960 --> 02:03:04.080]   If you any do have a new doorbell, which doesn't all actually look like a doorbell
[02:03:04.080 --> 02:03:07.360]   So it might be confusing for some people but there is doorbell like technology there
[02:03:07.360 --> 02:03:10.960]   You see that thing that's not a doorbell, but it is a doorbell. Press that
[02:03:10.960 --> 02:03:14.800]   Uh cool cool
[02:03:14.800 --> 02:03:20.560]   Which one do you have the smart lock smart like pro the smart lock pro and like you press the front of it that panel pops off
[02:03:20.560 --> 02:03:22.560]   There's two batteries in there because it is battery powered
[02:03:22.560 --> 02:03:26.960]   And it's got the home kit tags. You can just scan it and add it right to your home kit environment neat
[02:03:26.960 --> 02:03:32.160]   Very good. Thanks for the recommendation both of you. Thank you for being here today
[02:03:32.160 --> 02:03:34.320]   You find Andy
[02:03:34.320 --> 02:03:41.760]   At cw ob.com. That's his website of course on the chicago suntimes at i h n a t k o on the twitter
[02:03:41.760 --> 02:03:47.280]   Thanks, follow him on instagram too is a great photographer and on flicker. Oh good. Thank the eye and uh
[02:03:47.920 --> 02:03:54.960]   Can I mention something else? Plug your plug your show or whatever else. Yes. Yeah, no, I just uh, I've been doing occasional like tech segments for
[02:03:54.960 --> 02:03:58.560]   uh wgbh public radio here in boston
[02:03:58.560 --> 02:04:03.600]   And my next one is on friday and as of there, I know an official the official tech
[02:04:03.600 --> 02:04:05.120]   contributor to
[02:04:05.120 --> 02:04:06.640]   Nice
[02:04:06.640 --> 02:04:10.720]   So basically it's still very little changes except for now
[02:04:10.720 --> 02:04:15.840]   I get to have the 1974 style like blazer jacket with a patch for the you know, whatever
[02:04:16.320 --> 02:04:22.880]   But yeah, but so basically every couple of weeks depends on our schedules. I come on and I talk for about half hour
[02:04:22.880 --> 02:04:27.120]   Uh about whenever topics are kind of interesting the expone is on friday
[02:04:27.120 --> 02:04:34.400]   The other cool thing is that these usually happen at the wgbh public radio studios inside the boston public library
[02:04:34.400 --> 02:04:38.400]   So if you see me tweet out an announcement about my next appearance
[02:04:38.400 --> 02:04:43.120]   Go to the go to the cafe. There's a cafe. You can get coffee. You can get a cookie
[02:04:43.920 --> 02:04:50.320]   And you can listen to me blather on and see how how many notes I actually have in front of me when i'm pretending to be speaking
[02:04:50.320 --> 02:04:54.880]   Extemporaneously, I grew up listening to wgbh. I'm a huge fan
[02:04:54.880 --> 02:05:00.560]   Every time I just I'm just tickled bank. That's where I first heard the hitchhiker's guide of the galaxy and I still
[02:05:00.560 --> 02:05:03.440]   I still hear from wgbh in boston
[02:05:03.440 --> 02:05:08.800]   And I never forget it. So it's really that's kind of that's pretty darn cool
[02:05:09.280 --> 02:05:13.920]   So i'm gonna i'm gonna call you wgbh contributor and the anaco from now. Yes, exactly
[02:05:13.920 --> 02:05:18.160]   I'm very i'm very very proud of that. Yeah, and I just I just also wanted to just praise
[02:05:18.160 --> 02:05:20.000]   the people there
[02:05:20.000 --> 02:05:22.000]   uh jim and marjorie, uh, it's like
[02:05:22.000 --> 02:05:22.400]   I
[02:05:22.400 --> 02:05:25.440]   And you know, I bet rene has had this experience as well
[02:05:25.440 --> 02:05:30.400]   Sometimes you get the you get called to be invited to be on tv or on the radio
[02:05:30.400 --> 02:05:35.360]   And they really do want to talk about the well, wow they're gonna cancel the iphone 10
[02:05:35.440 --> 02:05:39.120]   Wow, it's a really big failure or like when I was doing stuff for cbs
[02:05:39.120 --> 02:05:43.920]   It was wonderful, but they really just wanted me to bring some gadgets every month and show off gadgets
[02:05:43.920 --> 02:05:48.320]   And I would really work hard to try to what if what if we were to there's a really good issue
[02:05:48.320 --> 02:05:53.280]   We could talk about and they're okay. Just to go. Okay, fine. Here's our robot dog. We're as they love
[02:05:53.280 --> 02:05:59.440]   Every every time I suggest like the we we talk about the we discuss the topics beforehand
[02:05:59.440 --> 02:06:02.000]   But and every time I send them my list and my breakdowns
[02:06:02.000 --> 02:06:05.840]   It's like three of them will be like policy issues and i'll see that on their list
[02:06:05.840 --> 02:06:11.040]   They already had three of those on there. So I really enjoy coming in and talking about them
[02:06:11.040 --> 02:06:13.360]   So it's a great show you'll enjoy it so I should
[02:06:13.360 --> 02:06:20.160]   It's streamed it streamed and you can also download it so go to wgph.org and you'll be able to see that see that stuff
[02:06:20.160 --> 02:06:27.360]   Yeah, I love them. I just think they're the greatest rene richy. You'll find him at i'more.com and don't forget
[02:06:30.320 --> 02:06:33.520]   How big are you going to blow that up and put that on your wall?
[02:06:33.520 --> 02:06:40.160]   It's going to take the wall here comes here comes coming at you right now, Tim and Tim and Renee
[02:06:40.160 --> 02:06:47.040]   You also find his vector podcast at i'more.com and that is a great show
[02:06:47.040 --> 02:06:51.200]   We had I mentioned we had brian romely on last week to talk about
[02:06:51.200 --> 02:06:55.440]   Why apple needs to make seery into a platform and I thought it was a it turned out really well
[02:06:55.440 --> 02:06:58.880]   So very nice if you haven't listened yet. I think that's a good jumping endpoint good
[02:06:59.520 --> 02:07:03.600]   Vector by rene richy i'more.com slash vector. It's easy to find
[02:07:03.600 --> 02:07:12.720]   Thank you everybody for being here. We do mac break weekly every Tuesday right after ios today that usually works out to somewhere around 11 a.m. Pacific
[02:07:12.720 --> 02:07:15.040]   2 p.m. Eastern time
[02:07:15.040 --> 02:07:17.040]   1900 utc if you want to watch us
[02:07:17.040 --> 02:07:22.240]   Make the sausage you can do that at twit.tv slash live
[02:07:22.240 --> 02:07:27.520]   You should also join us in the chatroom the great community in there at irc.twits.tv
[02:07:28.000 --> 02:07:30.000]   You can chat along with the show
[02:07:30.000 --> 02:07:37.440]   You can also uh watch on demand we have on demand versions in audio and video of this and every show we do at our website twit.tv
