;FFMETADATA1
title=Poseidon's Laptop
artist=Leo Laporte, Andy Ihnatko, Rene Ritchie
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2021-06-15
track=770
language=English
genre=Podcast
comment=iOS 15, iPadOS 15, Spatial Audio, Apple Silicon M1X
encoded_by=Uniblab 5.2
date=2021
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.360]   It's time for Mac break weekly Andy and Renee are here Alex has the day off
[02:08:13.180 --> 02:08:15.980]   It depends on the environment. Some are really good at
[02:08:15.980 --> 02:08:19.820]   Continual sounds like engine buzz not good at random sounds
[02:08:19.820 --> 02:08:22.940]   The algorithms are really differently tuned by different companies
[02:08:22.940 --> 02:08:26.460]   Some of them are more conservative because they don't want to block out important sounds
[02:08:26.460 --> 02:08:31.260]   Some of them are more aggressive and then you might miss things that you actually want to hear in like in your music
[02:08:31.260 --> 02:08:34.460]   So that varies a lot, but also your your own hearing
[02:08:34.460 --> 02:08:37.420]   Is it is different than everybody else's hearing?
[02:08:37.420 --> 02:08:40.140]   So when I see people say it's better or worse than that to me it
[02:08:40.140 --> 02:08:42.380]   It means like you don't understand the technology of ANC
[02:08:42.380 --> 02:08:45.020]   You've got to try them and for you that might absolutely be true
[02:08:45.020 --> 02:08:48.620]   Someone else might like i'm a lot better as long as we're talking about the same class
[02:08:48.620 --> 02:08:53.660]   Of devices. So I like these a little bit better than air pods when it comes to active noise cancelling
[02:08:53.820 --> 02:08:56.300]   It just seems to suit my environment a little bit better
[02:08:56.300 --> 02:09:03.420]   There are some downside and it does the transparency mode too, which boosts sounds. Yeah, that's a nice future on the air pods max
[02:09:03.420 --> 02:09:10.940]   Yeah, yeah, because that way like they're not blocking off the sound you don't get apples h1 w1 or h1 chip set
[02:09:10.940 --> 02:09:16.300]   This has a custom chip set that's designed to optimize for both ios and for android
[02:09:16.300 --> 02:09:21.980]   So it does the auto pairing the same way as air pods on ios does the android you tap it to the screen
[02:09:22.060 --> 02:09:26.860]   And it pairs both pods separately so in case you want to only listen with one or the other you can do that
[02:09:26.860 --> 02:09:33.100]   And it uses android's built-in framework to do that works really well, but it doesn't do the automatic
[02:09:33.100 --> 02:09:36.780]   Propagation of that pairing to all your apple devices
[02:09:36.780 --> 02:09:41.020]   And for some people that will be a curse because they love to set it up once and use it everywhere
[02:09:41.020 --> 02:09:45.820]   For other people who think that it's just so darn promiscuous that when your air pods max are across the room
[02:09:45.820 --> 02:09:49.500]   Just don't take it over you know from the headset you're wearing now could be a blessing
[02:09:49.820 --> 02:09:51.820]   You've got to figure that out for you
[02:09:51.820 --> 02:09:56.620]   There is no capacitive charging no capacitive charging case, but it uses usb c instead of lightning
[02:09:56.620 --> 02:10:02.140]   So if you're if you're just an iphone user that might irk you because you have an abundance of of lightning cables
[02:10:02.140 --> 02:10:05.020]   But if you're are a like a macbook and ipad
[02:10:05.020 --> 02:10:10.940]   Nintendo switch and android user, you know if you're a pc user you're still on usb a so i feel for you
[02:10:10.940 --> 02:10:14.220]   But you know for most modern technologies you'll have us bc cables
[02:10:15.100 --> 02:10:22.060]   And they have like beats sound the way that i understand apple's lab works is they they move everything to scientific
[02:10:22.060 --> 02:10:27.660]   Like absolute and then they have a bunch of humans tune it because scientific sound is not really good for anybody
[02:10:27.660 --> 02:10:31.980]   And there's like just different humans tuning them so you get it's not the old beats, you know
[02:10:31.980 --> 02:10:33.500]   boom boom
[02:10:33.500 --> 02:10:40.060]   Basie sound but to me it sounds a little bit different than air pods so they've they've still got their own unique characteristic
[02:10:40.060 --> 02:10:44.940]   And they're so inexpensive that and they fit so well that if i had to choose right now
[02:10:45.180 --> 02:10:48.620]   Even though i like there's also no head tracking for spatial audio because there's no sensors
[02:10:48.620 --> 02:10:54.140]   And some people care about that some people don't i but like i said in my review blasters in my head
[02:10:54.140 --> 02:10:59.020]   I would choose these now because even though they're missing features the ones that they have are the most important ones for me
[02:10:59.020 --> 02:11:09.100]   I I knew because i haven't used those but uh, I thought that uh noise cancellation in the uh airpods pro max the over the ear headphones was superb
[02:11:09.100 --> 02:11:14.860]   That's that's different. That's probably best in class from yeah, it's different because of course you're sealing off off your ear that way
[02:11:15.260 --> 02:11:21.020]   And it's a little hard to do that with buds, but um boy I was that I should to be fair
[02:11:21.020 --> 02:11:26.300]   I did slam them for their uh audio quality, but they I can't wait to wear them on the airplane
[02:11:26.300 --> 02:11:28.700]   It's the best noise cancellation i've ever used so
[02:11:28.700 --> 02:11:34.380]   They're blue tooth so you're always going to be limited by what yeah audio can be put through a bluetooth pipe and that's never going to be great
[02:11:34.380 --> 02:11:39.020]   No, it's a little disappointing, but that's life. I was you know, it's a shame the wired
[02:11:39.020 --> 02:11:41.420]   the 35 dollar
[02:11:41.420 --> 02:11:45.180]   Not included wired doesn't give you actual wired sound but
[02:11:45.180 --> 02:11:51.100]   You but the $10 part will like if you get apples $10 adapter then plug in your own cord. Uh, you'll get it
[02:11:51.100 --> 02:11:53.580]   You're kidding. Wait a minute. Tell me that again. That's got a
[02:11:53.580 --> 02:11:57.580]   Yeah, so apple since they deleted the headphone jack apple made this little $10
[02:11:57.580 --> 02:12:00.460]   uh 3.5 millimeter to um
[02:12:00.460 --> 02:12:07.020]   lightning adapter and that um that that's got a DAC in it a pretty good DAC for for a $10 part
[02:12:07.020 --> 02:12:10.380]   Oh
[02:12:11.180 --> 02:12:16.700]   It's lightning on both ends because that's the weird thing about no, it's it's the opposite of the core that they made
[02:12:16.700 --> 02:12:22.300]   Oh, okay, it's a cord like it's meant to plug lightning headphones into 3.5 millimeter jacks. Oh, that's weird
[02:12:22.300 --> 02:12:29.340]   So I have lightning headphones or so I guess so then it will be wired headphones
[02:12:29.340 --> 02:12:34.300]   Yeah, I don't know if it'll work for the AirPods max. I haven't tried that but uh, you know
[02:12:34.300 --> 02:12:39.420]   That's what I thought you do have lightning headphones and you want to get all this like you you want to get all these features
[02:12:39.580 --> 02:12:44.780]   I can I mean it will I haven't just tested it yet. I'm gonna or I mean that's those are cheap
[02:12:44.780 --> 02:12:48.540]   I think I'll order that and but these are really for people who value convenience over a quality
[02:12:48.540 --> 02:12:53.260]   Yeah, I reason to go truly wireless. I'd like both please if you don't mind. Yes
[02:12:53.260 --> 02:12:59.580]   I know we won't someday someday we will but uh, maybe when there's a new bluetooth codec
[02:12:59.580 --> 02:13:01.740]   There are new newer codecs than aptX
[02:13:01.740 --> 02:13:06.300]   That supposedly sound better bluetooth five supposedly sounds better. We shall we shall see
[02:13:07.420 --> 02:13:09.420]   Would have been nice to have that headphone jack
[02:13:09.420 --> 02:13:13.100]   Then I'd have a choice
[02:13:13.100 --> 02:13:19.100]   Mr. Renee ritchie. Thank you so much Renee ritchie calm. No, uh youtube.com/Renee ritchie
[02:13:19.100 --> 02:13:21.260]   right
[02:13:21.260 --> 02:13:24.300]   Yes, what are what are you you got a new thing you're doing?
[02:13:24.300 --> 02:13:30.380]   It's the new Renee ritchie. He's changed his oh changed his tone
[02:13:30.380 --> 02:13:34.620]   Yeah, well, I I went through a real I don't want to bore one of the details
[02:13:34.620 --> 02:13:38.540]   I went through like in my personal life a really really hard week last week right in the middle of wdc
[02:13:38.540 --> 02:13:42.860]   And it caused me to reevaluate just how I was doing things why I was doing things
[02:13:42.860 --> 02:13:49.020]   I was going for a really I spent a month working on like packaging my content for youtube and what would get high retention and
[02:13:49.020 --> 02:13:51.420]   you know would be like
[02:13:51.420 --> 02:13:53.580]   More clickable and I just I got so based
[02:13:53.580 --> 02:13:57.660]   Because I didn't sleep because dub dub and because I was going through all these issues
[02:13:57.660 --> 02:14:03.580]   That I just and then there was just such like I get triggered when there's reporting that I feel like is being opportunistically
[02:14:04.140 --> 02:14:05.340]   um
[02:14:05.340 --> 02:14:09.260]   What's the right when it's taking advantage of a reader rather than trying to educate them being exploitive?
[02:14:09.260 --> 02:14:15.180]   Oh god. Yes, rather than trying to like you have an opportunity when something happens and apple doesn't explain or google doesn't explain
[02:14:15.180 --> 02:14:19.740]   Your choice is I can use that to clickbait and exploit my audience for those clicks
[02:14:19.740 --> 02:14:25.180]   Or I can educate like I can do the work the research figure it out and explain it to you so that you you might love it
[02:14:25.180 --> 02:14:28.060]   You might hate it, but at least you're doing it smart. That's what you do
[02:14:28.060 --> 02:14:32.460]   That's that's what I really tried to do, but I was I don't say I was getting away from it
[02:14:32.460 --> 02:14:38.060]   But I was putting I think too much pressure on myself to tightly package things in so now I'm just turning on the camera
[02:14:38.060 --> 02:14:41.420]   I'm not worrying about scripts and not worrying about editing very much. I'm just recording
[02:14:41.420 --> 02:14:45.420]   um, and I call it based on a just because like I feel like I like
[02:14:45.420 --> 02:14:52.940]   My audience connection is more important to me than any imaginary youtube growth factors should be
[02:14:52.940 --> 02:14:56.700]   Good job. You came to the right decision
[02:14:58.140 --> 02:15:02.860]   Why do you think my shows are so crappy because I don't care about optimizing
[02:15:02.860 --> 02:15:06.780]   Or engagement. I just turn on the mic and we have fun
[02:15:06.780 --> 02:15:09.820]   We talk with people we like about things. Do you think I love that?
[02:15:09.820 --> 02:15:15.420]   We try to tell the truth we try to find the actual truth if we don't know it. I think that's exactly right
[02:15:15.420 --> 02:15:21.660]   Well done. Yeah, I was getting in a trap where I was like looking at some other channels that were growing really really fast that they were doing things like
[02:15:21.660 --> 02:15:24.540]   They were announcing they were every video was
[02:15:25.180 --> 02:15:30.780]   Price and date for apple announcing products that don't exist right or right, you know, here's apples and fur apples
[02:15:30.780 --> 02:15:35.420]   August event leaked which doesn't exist right and they were just getting hundreds of thousands of views and I was like
[02:15:35.420 --> 02:15:39.260]   I can't compete with that but at least I can I'm like I didn't care anymore. You shouldn't compete with it
[02:15:39.260 --> 02:15:43.420]   No, you should not try to compete with it. Um, I've had to come to grips with that as well
[02:15:43.420 --> 02:15:44.860]   I mean everything
[02:15:44.860 --> 02:15:49.020]   You know, uh, you see that happen all the time. It's been happening as long as I've been a broadcaster
[02:15:49.020 --> 02:15:54.780]   And uh at some point you just have to say, you know, I have a higher goal in life
